long,str,flags,flags,long,long,long,long,
492,"VehicleGrab",0x0,0x0,3,226,492,0,
493,"VehicleThrow",0x0,0x0,3,228,493,0,
494,"FlyVehicleGrab",0x0,0x0,3,455,492,3,
495,"FlyVehicleThrow",0x0,0x0,3,457,493,3,
496,"ToAlteredPostSwap",0x10,0x100,3,0,496,0,
497,"FromAlteredPostSwap",0x10,0x100,3,0,497,0,
498,"FlyToAlteredPostSwap",0x10,0x100,3,0,496,3,
499,"FlyFromAlteredPostSwap",0x10,0x100,3,0,497,3,
500,"ReclinedMountPassenger",0x0,0x8,3,0,500,0,
501,"FlyReclinedMountPassenger",0x0,0x8,3,0,500,3,
502,"Carry2H",0x10,0x8,3,0,502,0,
503,"Carried2H",0x10,0x0,3,0,503,0,
504,"FlyCarry2H",0x10,0x8,3,0,502,3,
505,"FlyCarried2H",0x10,0x0,3,0,503,3,
