long,str,long,long,bool,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,float,long,float,float,long,flags,flags,flags,
596,"Transport187263",0,1,0,"Transport: Naglfar",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
597,"CraigTest",0,15,0,"Craig Test",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
598,"Sunwell5Man",1,1,0,"Sunwell Fix (Unused)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,4,1.0,0,0.0,0.0,-1,0x1,0x0,0x5,
599,"Ulduar70",1,13,0,"Halls of Stone",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,230,1.0,571,8921.79296875,-966.80645752,-1,0x2,0x0,0x5,
600,"DrakTheronKeep",1,13,0,"Drak'Tharon Keep",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,228,1.0,571,4774.58300781,-2023.04907227,-1,0x2,0x0,0x5,
601,"Azjol_Uppercity",1,13,0,"Azjol-Nerub",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,229,1.0,571,3672.21533203,2171.27514648,-1,0x2,0x0,0x5,
602,"Ulduar80",1,13,0,"Halls of Lightning",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,231,1.0,571,9185.08789063,-1386.79064941,-1,0x2,0x0,0x5,
603,"UlduarRaid",2,13,0,"Ulduar",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FE,244,1.0,571,9359.37109375,-1115.17541504,0,0x2,0x0,0x5,
604,"GunDrak",1,13,0,"Gundrak",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,237,1.0,571,6708.73095703,-4654.90380859,-1,0x2,0x0,0x5,
605,"development_nonweighted",0,17,0,"Development Land (non-weighted textures)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,21,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
606,"QA_DVD",0,31,0,"QA and DVD",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,21,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
607,"NorthrendBG",3,29,1,"Strand of the Ancients",,,,,,,,,,,,,,,,0xFF01FE,0,"To the south of Dragonblight lies the resting place of a legendary Titan artifact, known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.",,,,,,,,,,,,,,,,0xFF01FE,"To the south of Dragonblight lies the resting place of a legendary Titan artifact, known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.",,,,,,,,,,,,,,,,0xFF01FE,238,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
608,"DalaranPrison",1,29,0,"Violet Hold",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,235,1.0,571,5689.48974609,498.046936035,-1,0x2,0x0,0x5,
609,"DeathKnightStart",0,29,0,"Ebon Hold",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,233,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
610,"Transport_Tirisfal _Vengeance_Landing",0,1,0,"Transport: Tirisfal to Vengeance Landing",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
612,"Transport_Menethil_Valgarde",0,1,0,"Transport: Menethil to Valgarde",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
613,"Transport_Orgrimmar_Warsong_Hold",0,1,0,"Transport: Orgrimmar to Warsong Hold",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
614,"Transport_Stormwind_Valiance_Keep",0,1,0,"Transport: Stormwind to Valiance Keep",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
615,"ChamberOfAspectsBlack",2,29,0,"The Obsidian Sanctum",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,239,1.0,571,3438.15332031,260.401306152,-1,0x2,0x0,0x0,
616,"NexusRaid",2,29,0,"The Eye of Eternity",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,236,1.0,571,3869.98144531,6984.33007813,-1,0x2,0x0,0x5,
617,"DalaranArena",4,29,0,"Dalaran Sewers",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,242,1.0,0,0.0,0.0,0,0x0,0x0,0x0,
618,"OrgrimmarArena",4,29,0,"The Ring of Valor",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,240,1.0,0,0.0,0.0,720,0x0,0x0,0x0,
619,"Azjol_LowerCity",1,29,0,"Ahn'kahet: The Old Kingdom",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,234,1.0,571,3641.45800781,2032.06384277,-1,0x2,0x0,0x0,
620,"Transport_Moa'ki_Unu'pe",0,1,0,"Transport: Moa'ki to Unu'pe",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
621,"Transport_Moa'ki_Kamagua",0,1,0,"Transport: Moa'ki to Kamagua",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
622,"Transport192241",0,1,0,"Transport: Orgrim's Hammer",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
623,"Transport192242",0,1,0,"Transport: The Skybreaker",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
624,"WintergraspRaid",2,61,0,"Vault of Archavon",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,243,1.0,571,5488.12451172,2840.33374023,-1,0x2,0x0,0x0,
628,"IsleofConquest",3,29,1,"Isle of Conquest",,,,,,,,,,,,,,,,0xFF01FE,0,"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend.

Serving as an ideal staging ground for operations in Icecrown, each side is determined to secure control of the island.

With the 7th Legion and the Kor'kron Guard locked in deadly combat, both factions have issued a call to arms in hopes of tipping the scales in their favor and defeating the opposing general.",,,,,,,,,,,,,,,,0xFF01FE,"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend.

Serving as an ideal staging ground for operations in Icecrown, each side is determined to secure control of the island.

With the 7th Legion and the Kor'kron Guard locked in deadly combat, both factions have issued a call to arms in hopes of tipping the scales in their favor and defeating the opposing general.",,,,,,,,,,,,,,,,0xFF01FE,245,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
631,"IcecrownCitadel",2,285,0,"Icecrown Citadel",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,250,1.0,571,5776.921875,2065.93237305,-1,0x2,0x0,0x0,
632,"IcecrownCitadel5Man",1,29,0,"The Forge of Souls",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,249,1.0,571,5670.79150391,2003.62854004,-1,0x2,0x0,0x0,
641,"Transport_AllianceAirshipBG",0,1,0,"Transport: Alliance Airship BG",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
642,"Transport_HordeAirshipBG",0,1,0,"Transport: HordeAirshipBG",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
647,"Transport_Orgrimmar_to_Thunderbluff",0,1,0,"Transport: Orgrimmar to Thunder Bluff",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
649,"ArgentTournamentRaid",2,29,0,"Trial of the Crusader",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,246,1.0,571,8515.28613281,736.137145996,-1,0x2,0x0,0x0,
650,"ArgentTournamentDungeon",1,29,0,"Trial of the Champion",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,247,1.0,571,8571.43457031,792.22052002,-1,0x2,0x0,0x0,
658,"QuarryofTears",1,29,0,"Pit of Saron",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,252,1.0,571,5592.05712891,2010.27087402,-1,0x2,0x0,0x0,
668,"HallsOfReflection",1,29,0,"Halls of Reflection",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,253,1.0,571,5628.875,1973.28649902,-1,0x2,0x0,0x0,
672,"Transport197347",0,1,0,"Transport: The Skybreaker (Icecrown Citadel Raid)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
673,"Transport197348",0,1,0,"Transport: Orgrim's Hammer (Icecrown Citadel Raid)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
712,"Transport197349",0,1,0,"Transport: The Skybreaker (IC Dungeon)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
713,"Transport197350",0,1,0,"Transport: Orgrim's Hammer (IC Dungeon)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
718,"Transport201834",0,1,0,"Trasnport: The Mighty Wind (Icecrown Citadel Raid)",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
723,"Stormwind",0,29,0,"Stormwind",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
724,"ChamberofAspectsRed",2,285,0,"The Ruby Sanctum",,,,,,,,,,,,,,,,0xFF01FE,0,"",,,,,,,,,,,,,,,,0xFF01FC,"",,,,,,,,,,,,,,,,0xFF01FC,254,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
