id;displayid;value
178014;4472;Doodad_OnyziasLairLavaTrapMirror28
178015;4472;Doodad_OnyziasLairLavaTrapMirror29
178016;4472;Doodad_OnyziasLairLavaTrapMirror30
178017;4472;Doodad_OnyziasLairLavaTrapMirror31
178018;4472;Doodad_OnyziasLairLavaTrapMirror32
178019;4472;Doodad_OnyziasLairLavaTrapMirror33
178020;4472;Doodad_OnyziasLairLavaTrapMirror34
178021;4473;Doodad_OnyziasLairFallingRocks14
178022;4473;Doodad_OnyziasLairFallingRocks15
178023;4473;Doodad_OnyziasLairFallingRocks16
178024;4473;Doodad_OnyziasLairFallingRocks17
178025;4473;Doodad_OnyziasLairFallingRocks18
178026;4473;Doodad_OnyziasLairFallingRocks19
178027;4473;Doodad_OnyziasLairFallingRocks20
178028;4473;Doodad_OnyziasLairFallingRocks21
178029;4473;Doodad_OnyziasLairFallingRocks22
178030;4473;Doodad_OnyziasLairFallingRocks23
178031;4473;Doodad_OnyziasLairFallingRocks24
178032;4473;Doodad_OnyziasLairFallingRocks25
178033;4473;Doodad_OnyziasLairFallingRocks26
178034;4392;Doodad_OnyziasLairLavaTrap73
178035;4392;Doodad_OnyziasLairLavaTrap74
178036;4392;Doodad_OnyziasLairLavaTrap75
178037;4392;Doodad_OnyziasLairLavaTrap76
178038;4392;Doodad_OnyziasLairLavaTrap77
178039;4392;Doodad_OnyziasLairLavaTrap78
178040;4392;Doodad_OnyziasLairLavaTrap79
178041;4392;Doodad_OnyziasLairLavaTrap80
178042;4392;Doodad_OnyziasLairLavaTrap81
178043;4392;Doodad_OnyziasLairLavaTrap82
178044;4392;Doodad_OnyziasLairLavaTrap83
178045;4472;Doodad_OnyziasLairLavaTrapMirror35
178046;4472;Doodad_OnyziasLairLavaTrapMirror36
178047;4472;Doodad_OnyziasLairLavaTrapMirror37
178048;4472;Doodad_OnyziasLairLavaTrapMirror38
178084;318;Felix's Chest
178085;4991;Felix's Bucket of Bolts
178087;4992;Thazz'ril's Pick
178088;4993;Ragnaros
178089;5457;Thazz'ril's Pick's Aura
178090;20;Marla's Grave
178104;5011;Resonite Crystal
178105;5017;Resonite Crystal
178106;5013;Resonite Crystal
178107;5014;Lava Steam
178108;5016;Lava Splash
178125;5031;Lotharian Lotus
178144;2450;Troll Chest
178145;2710;Resonite Cask
178146;5051;Gurda's Shredder
178147;4154;Ruul Snowhoof Cage
178164;1287;Hot Coal
178184;5091;Sapphire of Aku'Mai
178185;244;Sapphire of Aku'Mai
178186;5092;Sapphire of Aku'Mai
178187;410;Molten Core Circle SULFURON
178189;410;Molten Core Circle SHAZZRAH
178190;410;Molten Core Circle GOLEMAGG
178191;410;Molten Core Circle GARR
178192;410;Molten Core Circle MAGMADAR
178193;410;Molten Core Circle GEHENNAS
178194;1287;Lava Crack
178195;5093;Warsong Oil
178204;31;Warsong Axe Shipment
178205;5111;Karang's Banner
178207;2234;Karang's Banner Aura
178224;439;Dire Pool
178226;5113;Hospital Bed
178227;5131;Murgut's Totem Basket
178228;3612;Murgut's Totem Basket Aura
178229;430;Aurora's Book
178230;263;Aurora's Aura
178244;10;Practice Lockbox
178245;10;Practice Lockbox
178246;10;Practice Lockbox
178247;5151;Naga Brazier
178264;1287;Mercutio Post
178265;1287;Mercutio Post
178304;528;Box o' Squirrels
178324;2770;DANGER! Do Not Open! Move Along!
178325;4192;Open To Pass Your Rite.
178364;5773;Horde Banner
178365;5771;Alliance Banner
178386;5212;Doodad_CentaurTeleporter01
178388;5773;Horde Banner
178389;5771;Alliance Banner
178394;5771;Alliance Banner
178404;5231;Portal to Inner Maraudon
178425;5253;Christmas Tree (Large)
178426;5252;XMasTreeLargeHorde01
178427;439;Fountain of Elune
178428;5254;XMasGift01
178429;5255;XMasGift02
178430;5256;XMasGift03
178431;5257;XMasGift04
178432;5258;XMasGift05
178433;5259;XMasGift06
178434;5260;XMasStocking01
178435;5261;XMasStocking02
178436;5262;XMasStocking03
178437;5263;Wreath
178438;5264;Lights
178442;5271;Horde Supply Crate
178443;4452;Small Forge Flame
178444;652;Shrine of Sha'gri
178464;10;Dark Cleric Salem's Chest
178465;456;Altar of Summoning
178484;5291;Tear in the Nether
178504;10;Stolen Chest
178525;192;Campfire
178526;3871;James' Journal
178551;5312;Lights, Broken
178553;5313;Hive'Ashi Pod
178554;5314;Mistletoe
178556;5263;Wreath scale 1.20
178557;5315;Christmas Tree (Medium)
178559;3912;Larva Spewer
178560;5317;Doodad_MaraudonStaffCreator01
178561;3813;Spore Tree
178562;3813;Spore Tree
178563;3813;Spore Tree
178564;3813;Spore Tree
178565;3813;Spore Tree
178566;3813;Spore Tree
178567;3813;Spore Tree
178568;3813;Spore Tree
178569;3813;Spore Tree
178570;5318;Corruption Spewer
178571;1967;Bonfire
178572;216;Cauldron
178573;192;Cauldron
178584;621;Ryson's All Seeing Eye
178605;5332;Ryson's Beacon
178609;5333;Holiday Snow
178645;5351;Lights x3
178646;336;Alliance Supply Crate
178647;5371;Christmas Tree
178649;5263;Wreath scale 0.75
180651;6479;Shovel
180652;49;Freshly Dug Dirt
178666;5392;Gypsy Wagon
178670;5411;Circle of Calling
178671;648;Greatfather Winter's Chair
178684;305;Forge
178685;273;Anvil
178722;4852;Alliance Blacksmith Smoke
178745;5451;Lights x3, Broken
178746;5452;Smokywood Pastures
178764;5453;Rope Line
178765;5454;Rope Line Pole
178784;36;Coldtooth Supplies
178785;36;Irondeep Supplies
178806;5511;Stormpike Supplies
178807;287;Stormpike Supplies
178808;5512;Stormpike Supplies
178824;5491;Meeting Stone
178825;5491;Meeting Stone
178826;5492;Meeting Stone
178827;5491;Meeting Stone
178828;5494;Meeting Stone
178829;5491;Meeting Stone
178831;5495;Meeting Stone
178832;5494;Meeting Stone
178833;5491;Meeting Stone
178834;5494;Meeting Stone
178844;5492;Meeting Stone
178845;5498;Meeting Stone
178864;2128;Mailbox
178884;5491;Meeting Stone
178904;2991;Healed Celebrian Vine
178905;369;Vylestem Vine
178908;369;Vylestem Vine
178909;5531;Frostwolf Supplies
178910;5532;Frostwolf Supplies
178911;665;Frostwolf Supplies
178925;5651;Alliance Banner
178927;5651;[PH] Alliance A1 Tower Banner BIG
178929;5651;Alliance Banner
178932;5651;[PH] Alliance A2 Tower Banner BIG
178940;5653;Contested Banner
178943;5652;Horde Banner
178947;5651;[PH] Alliance A3 Tower Banner BIG
178948;5651;[PH] Alliance A4 Tower Banner BIG
178955;5652;[PH] Horde H1 Tower Banner BIG
178956;5652;[PH] Horde H2 Tower Banner BIG
178957;5652;[PH] Horde H3 Tower Banner BIG
178958;5652;[PH] Horde H4 Tower Banner BIG
178964;230;Celebras Blue Aura
178965;3871;Incantation of Celebras
178984;264;Bauble Aura
179004;163;Drek'Thar's Scrolls
179005;220;Drek'Thar's Scrolls
179006;183;Vanndar's Documents
179007;164;Vanndar's Documents
179008;190;Vanndar's Documents
179024;5191;Stormpike Banner
179025;5571;Frostwolf Banner
179044;5651;[PH] Alliance Graveyard Mid Banner BIG
179064;5652;[PH] Horde Graveyard Mid Banner BIG
179065;5752;Roaring Flame
179066;2390;Smoke Emitter, Large AOI, scale 2
179084;192;Campfire
179086;192;Campfire
179109;990;Chair
179115;5591;Portcullis
179116;5591;Portcullis
179119;867;Fire
179125;259;Izzy's Holdings
179144;3291;Danger! Crystalvein Mine closed!
179147;5611;Campfire
179148;295;Lever
179224;3291;Crystalvein Mine - Keep Out!
179264;261;Giant Clam
179286;5772;Contested Banner
179287;5774;Contested Banner
179304;5772;Contested Banner
179305;5774;Contested Banner
179306;5772;Contested Banner
179324;5791;Frostwolf Landmine
179325;5791;Stormpike Landmine
179344;200;Bonfire
179345;259;Deeprun Chest
179365;3751;Portcullis
179419;654;Brazier
179424;5653;[PH] Alliance Graveyard Mid Pre-Banner BIG
179425;5654;[PH] Horde Graveyard Mid Pre-Banner BIG
179426;5;Gri'lek the Wanderer
179435;5654;Contested Banner
179436;5654;[PH] Horde A1 Tower Pre-Banner BIG
179437;3053;Wanted: ORCS!
179438;3053;Wanted: DWARVES!
179439;5654;Contested Banner
179440;5654;[PH] Horde A2 Tower Pre-Banner BIG
179441;5654;Contested Banner
179442;5654;[PH] Horde A3 Tower Pre-Banner BIG
179443;5654;Contested Banner
179444;5654;[PH] Horde A4 Tower Pre-Banner BIG
179446;5653;[PH] Alliance H1 Tower Pre-Banner BIG
179450;5653;[PH] Alliance H2 Tower Pre-Banner BIG
179454;5653;[PH] Alliance H3 Tower Pre-Banner BIG
179458;5653;[PH] Alliance H4 Tower Pre-Banner BIG
179465;5771;Alliance Banner
179467;5773;Horde Banner
179468;5774;Contested Banner
179469;4653;Arena Door
179472;5773;Horde Banner
179485;5712;Broken Trap
179486;5743;Battered Footlocker
179487;5744;Waterlogged Footlocker
179488;5743;Battered Footlocker
179489;5744;Waterlogged Footlocker
179490;5743;Battered Footlocker
179491;5744;Waterlogged Footlocker
179492;5743;Dented Footlocker
179493;5744;Mossy Footlocker
179494;5743;Dented Footlocker
179496;5743;Dented Footlocker
179497;5744;Mossy Footlocker
179498;10;Scarlet Footlocker
179499;468;Ogre Tannin Basket
179501;336;Knot Thimblejack's Cache
179502;5691;Doodad_CorruptedCrystalVine01
179503;5692;Doodad_DireMaulBossForceField01
179506;5693;Doodad_DiremaulMagicVortex01
179511;181;Knot's Ball and Chain
179512;3073;Fixed Trap
179516;41;Fengus's Chest
179517;1387;Treasure of the Shen'dralar
179526;391;Warpwood Pod
179528;391;Warpwood Pod
179532;391;Warpwood Pod
179533;391;Warpwood Pod
179544;5733;Skeletal Remains of Kariel Winthalus
179545;10;The Prince's Chest
179547;4431;A Dusty Tome
179548;4431;A Dusty Tome
179549;4511;Door
179551;1387;Hydraxis' Coffer
179552;525;Schematic: Field Repair Bot 74A
179553;5740;Core Fragment
179554;5498;Meeting Stone
179555;5491;Meeting Stone
179556;5742;The Severed Head of Onyxia
179557;1287;Rallying Call
179558;5745;The Severed Head of Onyxia
179559;5746;Felvine Shard
179560;1287;Rallying Call
179561;4175;Onyxia's Flame Breath
179563;363;Prince's Chest Aura
179564;1387;Gordok Tribute
179565;1387;Dusty Reliquary
179584;5495;Meeting Stone
179585;5495;Meeting Stone
179586;5495;Meeting Stone
179587;5495;Meeting Stone
179588;4551;CavernDoor01
179595;5494;Meeting Stone
179596;5498;Meeting Stone
179597;5498;Meetingstone01
179664;1647;Earth Elemental Rift
179665;6397;Water Elemental Rift
179666;6333;Fire Elemental Rift
179667;6332;Air Elemental Rift
179668;5812;Warlock Mount Ritual Circle
179669;5813;Warlock Mount Quest Symbol 1
179670;5814;Warlock Mount Quest Symbol 2
179671;5815;Warlock Mount Quest Symbol 3
179672;5873;Wheel of the Black March
179673;5872;Doomsday Candle
179674;5871;Bell of Dethmoora
179681;5751;Dreadsteed Portal
179693;5457;Peasant Light Trap
179694;5834;Death Post
179695;5832;Slain Peasant
179696;5833;Slain Peasant
179697;259;Arena Treasure Chest
179698;5835;Slain Peasant
179699;5836;Slain Peasant
179703;51;Cache of the Firelord
179706;254;A Treatise on Military Ranks
179707;5851;Military Ranks of the Horde & Alliance
179708;4712;Divination Scryer
179724;3811;Doodad_PallyDoor01
179725;26;Champions' Hall
179726;26;Champions' Hall
179727;26;Champions' Hall
179728;26;Champions' Hall
179729;26;Command Center
179730;26;Command Center
179731;26;Command Center
179732;26;SI:7
179733;26;SI:7
179734;26;SI:7
179735;3011;Alliance Military Ranks
179736;725;Champions' Hall
179737;725;SI:7
179738;725;Command Center
179739;309;Hall of Legends
179740;309;Hall of Legends
179741;214;Horde Military Ranks
179742;707;Hall of Legends
179743;26;Command Center
179744;26;SI:7
179745;1310;Divination Scryer Aura
179747;3993;Terrordale Haunting Spirit
179757;91;High Back Chair
179767;673;Bench
179778;91;Chair
179779;673;Bench
179780;673;Bench
179781;673;Bench
179782;345;Alchemy Set
179784;5874;Suppression Device
179786;5913;Warsong Flag
179785;5912;Silverwing Flag
179804;6132;Drakonid Bones
179826;163;Secret Plans: Fiery Flux
179827;2491;Wanted/Missing/Lost & Found
179828;5911;Dark Iron Pillow
179830;5912;Silverwing Flag
179831;5913;Warsong Flag
179844;233;Forge
179862;166;Anvil
179871;5931;Speed Buff
179874;201;
179879;4891;Orb of Command
179880;2616;Drakkisath's Brand
179881;5951;The Severed Head of Nefarian
179885;200;Campfire
179888;220;Rizzle's Guarded Plans
179895;5971;Mailbox
179896;5971;Mailbox
179899;5931;Speed Buff
179900;0;Big Bonfire Damage
179904;5991;Food Buff
179905;5995;Berserk Buff
179906;5991;Food Buff
179907;5995;Berserk Buff
179908;1208;Slagtree's Lost Tools
179909;5992;Rock of Durotan
179910;5993;Lard's Picnic Basket
179911;5994;Message to the Wildhammer
179912;1287;Aerie Peak Town Center
179913;3053;Call to Arms!
179914;293;Pile of Bones
179915;293;Pile of Skulls
179916;6011;Doodad_RazorfenDoor01
179917;850;Doodad_RazorfenDoor02
179918;411;Doodad_PortcullisActive01
179919;411;Doodad_PortcullisActive02
179920;411;Doodad_PortcullisActive03
179921;411;Doodad_PortcullisActive04
179922;216;Vessel of Tainted Blood
179924;209;Forge
179944;1327;Meeting Stone Summoning Portal
179963;22;OUT OF ORDER! Use Postman instead - your GM's
179964;22;DARKMOON FAIRE - Coming Soon!
179965;6091;Darkmoon Faire Banner
179967;32;Barrel 01
179968;251;Haystack 01
179969;285;Replace Crate 01
179970;286;Replace Crate 02
179972;31;Stormwind Crate 01
179973;6036;Inn Barrel
179975;6148;Water Trough Small
179976;1727;Beer Keg 01
179977;6038;General Lantern 01
179984;6051;Brazier
180005;6131;Darkmoon Faire Wagon Loaded
180006;3332;Outhouse
180007;2270;Excavation Stake
180025;6133;Mysterious Eastvale Haystack
180026;6134;Darkmoon Faire Signpost
180029;6137;DARKMOON FAIRE
180030;6138;Fortune Teller's Tent
180031;6139;Food Tent
180032;6141;Souvenir Tent
180034;6142;Ticket Master Tent
180035;6157;Fence
180036;6144;Darkmoon Faire Wagon Unloaded
180037;6145;Haybail 01
180038;6146;Haybail 02
180039;6147;Animal Trainer Tent
180040;1787;G_Cage 02
180041;4154;G_Cage 03
180042;6149;Target Practice Tent
180043;4094;Free Standing Torch 01
180044;6152;Shoutbox
180045;5392;Stormwind Gypsy Wagon
180046;39;Chair
180047;138;Westfall Chair
180048;3091;Mug Foam 01
180049;3151;Mug 01
180050;6156;Bread French Half
180051;6155;Bread French 01
180052;36;Deadmine Cargo Boxes
180053;197;Brazier
180056;6158;Mysterious Tree Stump
180057;344;Bubbly Fissure
180256;6354;HORDE DOOR
180255;6353;ALLIANCE DOOR
180102;9165;Neutral Banner Aura
180101;9166;Horde Banner Aura
180064;6251;Alliance Banner
180065;6252;Contested Banner
180066;6253;Horde Banner
180067;6254;Contested Banner
180068;6251;Alliance Banner
180069;6252;Contested Banner
180070;6253;Horde Banner
180071;6254;Contested Banner
180072;6251;Alliance Banner
180073;6252;Contested Banner
180074;6253;Horde Banner
180077;6252;Contested Banner
180078;6253;Horde Banner
180079;6254;Contested Banner
180085;6252;Contested Banner
180088;6271;Blacksmith Banner
180093;6254;Contested Banner
180095;6254;Contested Banner
180096;6252;Contested Banner
180098;6252;Contested Banner
180099;6254;Contested Banner
180087;6271;Stable Banner
180061;6254;Contested Banner
180060;6253;Horde Banner
180104;1787;Zandalar Cage
180125;4251;Liquid Fire
180144;5991;Food Buff
180145;5991;Food Buff
180146;5931;Speed Buff
180147;5931;Speed Buff
180148;5995;Berserk Buff
180164;2315;Sungrass
180165;2314;Purple Lotus
180166;4633;Mountain Silversage
180167;4652;Golden Sansam
180168;4635;Dreamfoil
180184;6291;School of Fish
180215;3952;Hakkari Thorium Vein
180217;1287;Whipweed Entangle Trap
180218;60;Arathi Basin Pumpkin
180219;6325;Arathi Basin Pumpkin Patch
180220;758;Arathi Basin Bone01
180222;6327;Arathi Basin Bone02
180223;4173;Arathi Basin BlastedLandsSkull01
180224;6328;Arathi Basin BlastedLandsBonePile02
180225;6329;Arathi Basin BlastedLandsBonePile03
180226;4112;Arathi Basin Doomweed01
180227;4111;Arathi Basin Gloomweed01
180228;6393;Jinxed Hoodoo Pile
180229;6393;Jinxed Hoodoo Pile
180244;1287;Jinxed Hoodoo Pile
180247;1287;Jinxed Hoodoo Pile
180059;6252;Contested Banner
180058;6251;Alliance Banner
180322;6391;Ghost Gate
180323;4552;Gates of Zul'Gurub
180327;2570;Brazier of Madness
180335;3972;Darkmoon Faire Music Doodad
180358;5;Gri'lek, with the Iron Blood
180362;5991;Food Buff
180364;5;Hazza'rah, the Dreamweaver
180365;5;Renataki, of the Thousand Blades
180366;318;Battered Tackle Box
180369;6291;Muddy Churning Waters
180376;5995;Berserk Buff
180377;5991;Food Buff
180378;5995;Berserk Buff
180379;5931;Speed Buff
180380;5995;Berserk Buff
180381;5931;Speed Buff
180382;5995;Berserk Buff
180383;5991;Food Buff
180384;5931;Speed Buff
180386;6383;Gong
180391;327;Heart of Hakkar Spell Emitter
180392;213;Full Jug
180394;6707;PVP HOLIDAY HORDE CTF
180395;6387;PVP HOLIDAY HORDE AV
180396;6388;PVP HOLIDAY HORDE ARATHI
180397;6135;PVP HOLIDAY GENERIC SIGNPOST
180398;5651;PVP HOLIDAY ALLIANCE ARATHI
180399;6389;PVP HOLIDAY ALLIANCE AV
180400;6390;PVP HOLIDAY ALLIANCE CTF
180403;6396;Soapbox
180405;6351;G_Pumpkin_01
180406;6398;G_Pumpkin_02
180407;6399;G_Pumpkin_03
180408;6400;G_WitchHat_01
180409;6401;G_WitchBroom_01
180410;6402;G_HangingSkeleton_01
180411;6403;G_Ghost_01
180412;6404;G_CandyBucket_01
180415;4152;CandleBlack01
180417;192;Campfire
180421;9167;Alliance Banner Aura, Large
180422;9166;Horde Banner Aura, Large
180423;9165;Neutral Banner Aura, Large
180424;3751;Alterac Valley Gate
180425;6406;SkullCandle01
180426;6407;Bat01
180427;6408;Bat02
180428;6401;G_WitchBroom_01 scale 0.5
180429;6400;G_WitchHat_01 scale 0.5
180431;6351;G_Pumpkin_01 scale 4.0
180432;6388;Forsaken Banner
180433;6422;The Wickerman
180434;6411;Bonfire
180435;323;Noggle's Satchel
180437;6421;Wickerman Ember
180442;680;Bonfire
180448;3053;Wanted Poster: Deathclasp
180451;1948;Mailbox
180471;6417;HangingSkullLight01
180472;6418;HangingSkullLight02
180497;6385;Forcefield
180502;3972;Wind Stone
180503;470;Sandy Cookbook
180510;6476;Solanian's Scrying Orb
180511;220;Scroll of Scourge Magic
180512;6477;Solanian's Journal
180514;6431;Glyphed Crystal Prism
180515;6429;Blastenheimer 5000 Ultra Cannon
180516;3011;Shrine of Dath'Remar
180517;6432;Putrid Mushroom
180523;6405;Apple Bob
180524;6424;Tonk Control Console
180526;1827;Gong of Bethekk
180529;6425;Lesser Wind Stone
180534;6426;Wind Stone
180570;319;Keg
180573;6430;Cannon Target
180575;319;Keg
180582;6291;Lesser Oily Blackmouth School
180583;263;Twilight Tablet Fragment
180598;6491;AQWar - Resource, Bandages, Alliance, Initial
180600;6791;Unstable Mana Crystal Crate
180632;6467;Alchemy Lab
180633;5746;Crystalline Tear
180640;263;Blue aura, short column
180647;6483;Sand Trap
180655;6434;Floating Debris
180656;6435;Lesser Sagefish School
180657;6482;Sparse Firefin Snapper School
180658;6291;School of Deviate Fish
180660;6484;Sack of Gold
180662;6434;Schooner Wreckage
180663;6435;Sagefish School
180664;6291;Sparse Oily Blackmouth School
180665;107;Draconic for Dummies
180666;107;Draconic for Dummies
180667;6488;Draconic for Dummies
180674;6493;AQWar - Resource, Bandages, Alliance, Tier 1
180675;6494;AQWar - Resource, Bandages, Alliance, Tier 2
180676;6495;AQWar - Resource, Bandages, Alliance, Tier 3
180677;6496;AQWar - Resource, Bandages, Alliance, Tier 4
180679;6498;AQWar - Resource, Cooking/Herbs, Alliance Initial
180680;6499;AQWar - Resource, Bars, Alliance, Initial
180681;6500;AQWar - Resource, Skins, Alliance, Initial
180682;6291;Oily Blackmouth School
180683;6482;Firefin Snapper School
180684;6435;Greater Sagefish School
180685;6434;Waterlogged Wreckage
180690;6502;Large Scarab Coffer
180691;6502;Scarab Coffer
180692;6503;AQWar - Resource, Skins, Alliance, Tier 1
180693;6504;AQWar - Resource, Skins, Alliance, Tier 2
180694;6505;AQWar - Resource, Skins, Alliance, Tier 3
180695;6506;AQWar - Resource, Skins, Alliance, Tier 4
180696;6507;AQWar - Resource, Skins, Alliance, Tier 5
180712;6742;Stonescale Eel Swarm
180714;6448;CrateAllianceFirstAid01
180728;6519;Firework, Show, Type 1 White
180750;6291;Teeming Oily Blackmouth School
180751;6434;Floating Wreckage
180752;6482;Teeming Firefin Snapper School
180755;6528;Dwarf Hero
180756;6529;Gnome Hero
180757;6530;Human Hero Portrait
180759;6532;Orc Hero Portrait
180760;6533;Forsaken Hero Portrait
180761;6534;Tauren Hero Portrait
180762;6535;Troll Hero Portrait
180763;6489;Firecrackers
180764;6490;Firecrackers
180766;6538;Lantern
180767;6539;Lantern
180768;6540;Lantern
180769;6541;Lights
180770;6542;Lights
180771;6543;Firework Launcher
180772;6544;Cluster Launcher
180773;6545;Banner
180774;6546;Banner
180775;6547;Banner
180776;6548;Banner
180777;6549;Banner
180778;6550;Banner
180780;6551;AQWar - Resource, Bars, Alliance, Tier 1
180781;6552;AQWar - Resource, Bars, Alliance, Tier 2
180782;6553;AQWar - Resource, Bars, Alliance, Tier 3
180783;6554;AQWar - Resource, Bars, Alliance, Tier 4
180784;6555;AQWar - Resource, Bars, Alliance, Tier 5
180788;3972;AQDOORSOUND
180797;327;PX-238 Winter Wondervolt TRAP
180800;6560;AQWar - Resource, Cooking, Alliance, Tier 1
180801;6561;AQWar - Resource, Herbs, Alliance, Tier 1
180802;6562;AQWar - Resource, Herbs, Alliance, Tier 2
180803;6563;AQWar - Resource, Herbs, Alliance, Tier 3
180804;6564;AQWar - Resource, Herbs, Alliance, Tier 4
180805;6565;AQWar - Resource, Herbs, Alliance, Tier 5
180806;6566;AQWar - Resource, Cooking, Alliance, Tier 2
180807;6567;AQWar - Resource, Cooking, Alliance, Tier 3
180808;6568;AQWar - Resource, Cooking, Alliance, Tier 4
180809;6569;AQWar - Resource, Cooking, Alliance, Tier 5
180851;6509;Firework Rocket, Type 1 Red
180855;6517;Firework Rocket, Type 1 Green
180858;6523;Firework Rocket, Type 1 Yellow
180859;6543;Cluster Launcher
180866;1287;Event Generator Saurfang Pre-War
180868;6543;Firework Launcher
180869;6544;Cluster Launcher
180870;6489;Firecrackers
180871;6489;Firecrackers
180872;6490;Firecrackers
180873;6490;Firecrackers
180876;327;Elune's Blessing TRAP BUFF
180878;6607;GunShopFireworksBarrel
180879;6608;ElvenWoodenTable
180880;6609;AmmoBoxBlue
180881;6610;AmmoBoxBlueBlock
180882;6611;AmmoBoxRed
180883;5512;AmmoBoxRedBlock
180885;581;InnTableTiny
180898;4134;AQRUNE
180899;4133;AQROOT
180900;6291;Abundant Oily Blackmouth School
180901;6434;Bloodsail Wreckage
180902;6482;Abundant Firefin Snapper School
180904;4132;Ancient Door
184503;7161;Orb of Translocation
184502;7161;Orb of Translocation
180913;233;Forge
180915;197;Cooking Brazier
180916;6706;Duskwither Spire Power Source
180917;6670;Captain Kelisendra's Cargo
180918;6902;Wanted: Thaelis the Hungerer
180919;6706;Duskwither Spire Power Source
180920;6706;Duskwither Spire Power Source
180921;49;Tainted Soil Sample
180991;39;Chair
180993;39;Chair
180994;39;Chair
180996;39;Chair
180997;39;Chair
180998;39;Chair
180999;39;Chair
181000;39;Chair
181001;39;Chair
181002;39;Chair
181003;39;Chair
181004;39;Chair
181005;39;Chair
181006;39;Chair
181007;39;Chair
181008;39;Chair
181009;39;Chair
181011;6619;Magister Duskwither's Journal
181014;6652;Hanging, Square, Large - Val
181015;6656;Standing, Large - Val
181016;6634;Standing, Exterior, Medium - Val
181017;6635;Hanging, Streamer - Val
181018;6640;Hanging, Tall/Thin, Medium - Val
181019;6642;Standing, Interior, Medium - Val
181020;6641;Hanging, Square, Medium - Val
181021;6643;Hanging, Door - Val
181022;6657;Standing, Giant - Val
181025;6653;Hanging, Tall/Thin, Large - Val
181029;6624;Burning Coals
181030;3074;Immolation Trap VI
181031;3072;Explosive Trap IV
181032;6625;Blood Drenched Door
181042;6625;Medivh's Chambers
181054;6659;Ectoplasmic Distiller Trap
181055;6636;Hanging, Streamer x3 - Val
181056;6637;Naxxramas
181060;6644;Standing, Interior, Small - Val
181062;6645;In Loving Memory
181063;6646;Flowers for Tony
181064;6647;Flowers for Tony
181065;63;Flowers for Tony
181066;6648;Flowers for Tony
181067;6313;Flowers for Tony
181068;6650;Small Obsidian Chunk
181069;6650;Large Obsidian Chunk
181075;221;Table
181076;39;Inigo's Chair
181077;159;Rug
181078;39;Marjhan's Chair
181079;39;Eligor's Chair
181080;39;Angela's Chair
181081;222;Map of the Eastern Plaguelands
181082;240;Candelabra
181098;49;Volcanic Ash
181102;6671;Lightwell
181103;6662;Flower
181104;20;Small Dirt Mound
181105;6671;Lightwell
181106;6671;Lightwell
181107;6792;Weapon Container
181110;2530;Soaked Tome
181119;6672;Deathknight Door
181120;6673;Gluth - Exit Door
181121;6674;Thaddius Door
181123;6676;Patchwork - Exit Door
181124;6676;Vaccuum - Enter Gate
181125;6676;Vaccuum - Exit Gate
181126;6677;Anub'Rekhan Door
181130;233;Forge
181131;273;Anvil
181133;1869;Rathis Tomber's Supplies
181136;6679;Circle
181138;183;Night Elf Plans: An'daroth
181139;222;Night Elf Plans: An'owyn
181140;164;Night Elf Plans: Scrying on the Sin'dorei
181143;564;Fish of the Day
181144;563;Bowl of Fruit
181145;566;Roast Boar Platter
181146;6831;Portal to Karazhan
181147;6902;Wanted Poster
181148;6804;Mummified Troll Remains
181150;470;Dusty Journal
181151;49;Glistening Mud
181152;1787;Cage
181153;6902;Wanted Poster: Kel'gash the Wicked
181157;4853;Altar of Tidal Mastery
181165;6671;Lightwell
181166;6777;Bloodthistle
181167;6677;Grand Widow Faerlina Door
181168;6684;Icebellow Furnace
181169;6684;Icebellow Furnace
181170;6685;Vaccuum - Combat Gate
181174;265;Undead Fire Aura
181175;91;Chair
181176;91;Chair
181177;91;Chair
181178;91;Chair
181179;91;Chair
181180;91;Chair
181181;91;Chair
181182;91;Chair
181183;91;Chair
181184;91;Chair
181185;91;Chair
181186;91;Chair
181187;91;Chair
181188;91;Chair
181189;91;Chair
181195;2451;Anub'Rekhan Gate
181197;6688;Maexxna - Inner Web Door
181198;6689;Doodad_Nox_door_slime01
181199;6689;Doodad_Nox_door_slime02
181200;6689;Noth - Entry Door
181201;6689;Noth - Exit Door
181202;6689;Heigan the Unclean - Entry Door
181203;6689;Heigan the Unclean - Exit Door
181209;6688;Maexxna - Outer Web Door
181210;6691;Deathknight Wing Eye Portal Ramp
181211;6692;Plague Wing Eye Portal Ramp
181212;6693;Spider Wing Eye Portal Ramp
181213;6694;Abom Wing Eye Portal Ramp
181217;39;Chair
181218;39;Chair
181219;39;Chair
181220;348;Potbelly Stove
181221;6632;Door
181229;6696;Portal
181231;6698;Plague Wing Eye Portal Boss
181232;6699;Abom Wing Eye Portal Boss
181233;6700;Spider Wing Eye Portal Boss
181234;6701;Icebellow Anvil
181235;6687;Grand Widow Faerlina - Web
181236;1907;Mailbox
181238;10;Dented Chest
181239;10;Worn Chest
181240;6702;Loatheb Fight Door 01 (not used)
181241;6675;Loatheb - Entrance Door
181242;6675;Loatheb Fight Door 02 (not used)
181243;6675;Loatheb Fight Door 03 (not used)
181248;310;Copper Vein
181249;315;Tin Vein
181250;4351;Raw Meat Rack
181251;409;Smoked Meat Rack
181252;6705;Fresh Fish Rack
181257;6709;Argent Dawn Banner
181270;6968;Felweed
181271;6948;Dreaming Glory
