long,str,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
396,"of Intellect",1131,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
397,"of Intellect",1132,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
398,"of Intellect",1133,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
399,"of Intellect",1134,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
400,"of Intellect",1135,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
401,"of Intellect",1136,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
402,"of Intellect",1137,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
403,"of Intellect",1138,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
404,"of Intellect",1139,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
405,"of Intellect",1140,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
406,"of Intellect",1141,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
407,"of Intellect",1142,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
408,"of Intellect",1143,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
409,"of Spirit",1144,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
410,"of Spirit",1145,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
411,"of Spirit",1146,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
412,"of Spirit",1147,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
413,"of Spirit",1148,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
414,"of Spirit",1149,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
415,"of Spirit",1150,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
416,"of Spirit",1151,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
417,"of Spirit",1152,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
418,"of Spirit",1153,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
419,"of Spirit",1154,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
420,"of Spirit",1155,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
421,"of Spirit",1156,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
422,"of Spirit",1157,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
423,"of Spirit",1158,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
424,"of Spirit",1159,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
425,"of Spirit",1160,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
426,"of Spirit",1161,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
427,"of Spirit",1162,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
428,"of Spirit",1163,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
429,"of Spirit",1164,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
430,"of Spirit",1165,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
431,"of Spirit",1166,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
432,"of Spirit",1167,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
433,"of Spirit",1168,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
434,"of Spirit",1183,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFF01FE,
435,"of the Falcon",343,97,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
436,"of the Falcon",93,350,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
437,"of the Falcon",343,350,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
438,"of the Falcon",349,350,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
439,"of the Falcon",343,354,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
440,"of the Falcon",349,354,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
441,"of the Falcon",358,354,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
442,"of the Falcon",349,359,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
443,"of the Falcon",358,359,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
444,"of the Falcon",363,359,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
445,"of the Falcon",358,364,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
446,"of the Falcon",363,364,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
447,"of the Falcon",368,364,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
448,"of the Falcon",363,369,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
449,"of the Falcon",368,369,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
450,"of the Falcon",403,369,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
451,"of the Falcon",368,405,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
452,"of the Falcon",403,405,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
453,"of the Falcon",404,405,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
454,"of the Falcon",403,406,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
455,"of the Falcon",404,406,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
456,"of the Falcon",883,406,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
457,"of the Falcon",404,1118,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
458,"of the Falcon",883,1118,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
459,"of the Falcon",983,1118,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
460,"of the Falcon",883,1119,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
461,"of the Falcon",983,1119,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
462,"of the Falcon",1094,1119,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
463,"of the Falcon",983,1120,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
464,"of the Falcon",1094,1120,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
465,"of the Falcon",1095,1120,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
466,"of the Falcon",1094,1121,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
467,"of the Falcon",1095,1121,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
468,"of the Falcon",1096,1121,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
469,"of the Falcon",1095,1122,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
470,"of the Falcon",1096,1122,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
471,"of the Falcon",1097,1122,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
472,"of the Falcon",1096,1123,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
473,"of the Falcon",1097,1123,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
474,"of the Falcon",1098,1123,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
475,"of the Falcon",1097,1124,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
476,"of the Falcon",1098,1124,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
477,"of the Falcon",1099,1124,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
478,"of the Falcon",1098,1125,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
479,"of the Falcon",1099,1125,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
480,"of the Falcon",1100,1125,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
481,"of the Falcon",1099,1126,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
482,"of the Falcon",1100,1126,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
483,"of the Falcon",1101,1126,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
484,"of the Falcon",1100,1127,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
485,"of the Falcon",1101,1127,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
486,"of the Falcon",1102,1127,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
487,"of the Falcon",1101,1128,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
488,"of the Falcon",1102,1128,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
489,"of the Falcon",1103,1128,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
490,"of the Falcon",1102,1129,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
491,"of the Falcon",1103,1129,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
492,"of the Falcon",1104,1129,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
493,"of the Falcon",1103,1130,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
494,"of the Falcon",1104,1130,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
495,"of the Falcon",1105,1130,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
496,"of the Falcon",1104,1131,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
497,"of the Falcon",1105,1131,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
498,"of the Falcon",1106,1131,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
499,"of the Falcon",1105,1132,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
500,"of the Falcon",1106,1132,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFF01FE,
501,"of the Wolf",75,82,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
502,"of the Wolf",75,83,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
503,"of the Wolf",76,83,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
504,"of the Wolf",75,84,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
505,"of the Wolf",76,84,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
506,"of the Wolf",90,84,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
507,"of the Wolf",76,98,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
508,"of the Wolf",90,98,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
509,"of the Wolf",91,98,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
510,"of the Wolf",90,99,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
511,"of the Wolf",91,99,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
512,"of the Wolf",92,99,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
513,"of the Wolf",91,100,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
514,"of the Wolf",92,100,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
515,"of the Wolf",93,100,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
516,"of the Wolf",92,101,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
517,"of the Wolf",93,101,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
518,"of the Wolf",343,101,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
519,"of the Wolf",93,351,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
520,"of the Wolf",343,351,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
521,"of the Wolf",349,351,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
522,"of the Wolf",343,355,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
523,"of the Wolf",349,355,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
524,"of the Wolf",358,355,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
525,"of the Wolf",349,360,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
526,"of the Wolf",358,360,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
527,"of the Wolf",363,360,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
528,"of the Wolf",358,365,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
529,"of the Wolf",363,365,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
530,"of the Wolf",368,365,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
531,"of the Wolf",363,370,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
532,"of the Wolf",368,370,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
533,"of the Wolf",403,370,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
534,"of the Wolf",368,407,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
535,"of the Wolf",403,407,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
536,"of the Wolf",404,407,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
537,"of the Wolf",403,408,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
538,"of the Wolf",404,408,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
539,"of the Wolf",883,408,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
540,"of the Wolf",404,1144,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
541,"of the Wolf",883,1144,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
542,"of the Wolf",983,1144,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
543,"of the Wolf",883,1145,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
544,"of the Wolf",983,1145,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
545,"of the Wolf",1094,1145,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
546,"of the Wolf",983,1146,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
547,"of the Wolf",1094,1146,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
548,"of the Wolf",1095,1146,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
549,"of the Wolf",1094,1147,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
550,"of the Wolf",1095,1147,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
551,"of the Wolf",1096,1147,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
552,"of the Wolf",1095,1148,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
553,"of the Wolf",1096,1148,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
554,"of the Wolf",1097,1148,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
555,"of the Wolf",1096,1149,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
556,"of the Wolf",1097,1149,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
557,"of the Wolf",1098,1149,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
558,"of the Wolf",1097,1150,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
559,"of the Wolf",1098,1150,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
560,"of the Wolf",1099,1150,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
561,"of the Wolf",1098,1151,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
562,"of the Wolf",1099,1151,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
563,"of the Wolf",1100,1151,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
564,"of the Wolf",1099,1152,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
565,"of the Wolf",1100,1152,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
566,"of the Wolf",1101,1152,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
567,"of the Wolf",1100,1153,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
568,"of the Wolf",1101,1153,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
569,"of the Wolf",1102,1153,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
570,"of the Wolf",1101,1154,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
571,"of the Wolf",1102,1154,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
572,"of the Wolf",1103,1154,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
573,"of the Wolf",1102,1155,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
574,"of the Wolf",1103,1155,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
575,"of the Wolf",1104,1155,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
576,"of the Wolf",1103,1156,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
577,"of the Wolf",1104,1156,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
578,"of the Wolf",1105,1156,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
579,"of the Wolf",1104,1157,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
580,"of the Wolf",1105,1157,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
581,"of the Wolf",1106,1157,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
582,"of the Wolf",1105,1158,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
583,"of the Wolf",1106,1158,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFF01FE,
584,"of the Monkey",74,71,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
585,"of the Monkey",75,71,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
586,"of the Monkey",74,72,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
587,"of the Monkey",75,72,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
588,"of the Monkey",76,72,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
589,"of the Monkey",75,73,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
590,"of the Monkey",76,73,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
591,"of the Monkey",90,73,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
592,"of the Monkey",76,102,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
593,"of the Monkey",90,102,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
594,"of the Monkey",91,102,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
595,"of the Monkey",90,103,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
596,"of the Monkey",91,103,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
597,"of the Monkey",92,103,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
598,"of the Monkey",91,104,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
599,"of the Monkey",92,104,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
600,"of the Monkey",93,104,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
601,"of the Monkey",92,105,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
602,"of the Monkey",93,105,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
603,"of the Monkey",343,105,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
604,"of the Monkey",93,353,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
605,"of the Monkey",343,353,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
606,"of the Monkey",349,353,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
607,"of the Monkey",343,356,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
608,"of the Monkey",349,356,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
609,"of the Monkey",358,356,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
610,"of the Monkey",349,361,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
611,"of the Monkey",358,361,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
612,"of the Monkey",363,361,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
613,"of the Monkey",358,366,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
614,"of the Monkey",363,366,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
615,"of the Monkey",368,366,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
616,"of the Monkey",363,371,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
617,"of the Monkey",368,371,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
618,"of the Monkey",403,371,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
619,"of the Monkey",368,409,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
620,"of the Monkey",403,409,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
621,"of the Monkey",404,409,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
622,"of the Monkey",403,411,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
623,"of the Monkey",404,411,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
624,"of the Monkey",883,411,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
625,"of the Monkey",404,1068,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
626,"of the Monkey",883,1068,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
627,"of the Monkey",983,1068,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
628,"of the Monkey",883,1069,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
629,"of the Monkey",983,1069,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
630,"of the Monkey",1094,1069,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
631,"of the Monkey",983,1070,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
632,"of the Monkey",1094,1070,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
633,"of the Monkey",1095,1070,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
634,"of the Monkey",1094,1071,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
635,"of the Monkey",1095,1071,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
636,"of the Monkey",1096,1071,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
637,"of the Monkey",1095,1072,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
638,"of the Monkey",1096,1072,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
639,"of the Monkey",1097,1072,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
640,"of the Monkey",1096,1073,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
641,"of the Monkey",1097,1073,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
642,"of the Monkey",1098,1073,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
643,"of the Monkey",1097,1074,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
644,"of the Monkey",1098,1074,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
645,"of the Monkey",1099,1074,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
646,"of the Monkey",1098,1075,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
647,"of the Monkey",1099,1075,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
648,"of the Monkey",1100,1075,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
649,"of the Monkey",1099,1076,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
650,"of the Monkey",1100,1076,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
651,"of the Monkey",1101,1076,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
652,"of the Monkey",1100,1077,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
653,"of the Monkey",1101,1077,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
654,"of the Monkey",1102,1077,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
655,"of the Monkey",1101,1078,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
656,"of the Monkey",1102,1078,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
657,"of the Monkey",1103,1078,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
658,"of the Monkey",1102,1079,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
659,"of the Monkey",1103,1079,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
660,"of the Monkey",1104,1079,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
661,"of the Monkey",1103,1080,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
662,"of the Monkey",1104,1080,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
663,"of the Monkey",1105,1080,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
664,"of the Monkey",1104,1081,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
665,"of the Monkey",1105,1081,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
666,"of the Monkey",1106,1081,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
667,"of the Monkey",1105,1082,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
668,"of the Monkey",1106,1082,0,,,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,
669,"of the Tiger",74,68,0,,,"of the Tiger",,,,,,,,,,,,,,,,0xFF01FE,
