long,long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
305,547,1,1000,1,"Rokmar the Crackler",,,,,,,,,,,,,,,,0xFF01FE,,
303,547,0,2000,2,"Quagmirran",,,,,,,,,,,,,,,,0xFF01FE,,
306,547,1,2000,2,"Quagmirran",,,,,,,,,,,,,,,,0xFF01FE,,
623,548,0,0,0,"Hydross the Unstable",,,,,,,,,,,,,,,,0xFF01FE,,
624,548,0,1000,1,"The Lurker Below",,,,,,,,,,,,,,,,0xFF01FE,,
625,548,0,2000,2,"Leotheras the Blind",,,,,,,,,,,,,,,,0xFF01FE,,
626,548,0,3000,3,"Fathom-Lord Karathress",,,,,,,,,,,,,,,,0xFF01FE,,
627,548,0,4000,4,"Morogrim Tidewalker",,,,,,,,,,,,,,,,0xFF01FE,,
628,548,0,5000,5,"Lady Vashj",,,,,,,,,,,,,,,,0xFF01FE,,
730,550,0,0,0,"Al'ar",,,,,,,,,,,,,,,,0xFF01FE,,
731,550,0,1000,1,"Void Reaver",,,,,,,,,,,,,,,,0xFF01FE,,
732,550,0,2000,2,"High Astromancer Solarian",,,,,,,,,,,,,,,,0xFF01FE,,
733,550,0,3000,3,"Kael'thas Sunstrider",,,,,,,,,,,,,,,,0xFF01FE,,
494,552,0,0,0,"Zereketh the Unbound",,,,,,,,,,,,,,,,0xFF01FE,,
495,552,1,1000,0,"Zereketh the Unbound",,,,,,,,,,,,,,,,0xFF01FE,,
496,552,0,1000,1,"Dalliah the Doomsayer",,,,,,,,,,,,,,,,0xFF01FE,,
497,552,1,2000,1,"Dalliah the Doomsayer",,,,,,,,,,,,,,,,0xFF01FE,,
498,552,0,2000,2,"Wrath-Scryer Soccothrates",,,,,,,,,,,,,,,,0xFF01FE,,
499,552,1,3000,2,"Wrath-Scryer Soccothrates",,,,,,,,,,,,,,,,0xFF01FE,,
500,552,0,3000,3,"Harbinger Skyriss",,,,,,,,,,,,,,,,0xFF01FE,,
501,552,1,4000,3,"Harbinger Skyriss",,,,,,,,,,,,,,,,0xFF01FE,,
502,553,0,0,0,"Commander Sarannis",,,,,,,,,,,,,,,,0xFF01FE,,
504,553,1,1000,0,"Commander Sarannis",,,,,,,,,,,,,,,,0xFF01FE,,
505,553,0,1000,1,"High Botanist Freywinn",,,,,,,,,,,,,,,,0xFF01FE,,
506,553,1,2000,1,"High Botanist Freywinn",,,,,,,,,,,,,,,,0xFF01FE,,
507,553,0,2000,2,"Thorngrin the Tender",,,,,,,,,,,,,,,,0xFF01FE,,
508,553,1,3000,2,"Thorngrin the Tender",,,,,,,,,,,,,,,,0xFF01FE,,
509,553,0,3000,3,"Laj",,,,,,,,,,,,,,,,0xFF01FE,,
510,553,1,4000,3,"Laj",,,,,,,,,,,,,,,,0xFF01FE,,
511,553,0,4000,4,"Warp Splinter",,,,,,,,,,,,,,,,0xFF01FE,,
512,553,1,5000,4,"Warp Splinter",,,,,,,,,,,,,,,,0xFF01FE,,
513,554,0,0,0,"Mechano-Lord Capacitus",,,,,,,,,,,,,,,,0xFF01FE,,
514,554,1,1000,0,"Mechano-Lord Capacitus",,,,,,,,,,,,,,,,0xFF01FE,,
515,554,0,1000,1,"Nethermancer Sepethrea",,,,,,,,,,,,,,,,0xFF01FE,,
516,554,1,2000,1,"Nethermancer Sepethrea",,,,,,,,,,,,,,,,0xFF01FE,,
517,554,0,2000,2,"Pathaleon the Calculator",,,,,,,,,,,,,,,,0xFF01FE,,
518,554,1,3000,2,"Pathaleon the Calculator",,,,,,,,,,,,,,,,0xFF01FE,,
208,555,0,0,0,"Ambassador Hellmaw",,,,,,,,,,,,,,,,0xFF01FE,,
255,555,1,0,0,"Ambassador Hellmaw",,,,,,,,,,,,,,,,0xFF01FE,,
209,555,0,1000,1,"Blackheart the Inciter",,,,,,,,,,,,,,,,0xFF01FE,,
256,555,1,1000,1,"Blackheart the Inciter",,,,,,,,,,,,,,,,0xFF01FE,,
210,555,0,2000,2,"Grandmaster Vorpil",,,,,,,,,,,,,,,,0xFF01FE,,
257,555,1,2000,2,"Grandmaster Vorpil",,,,,,,,,,,,,,,,0xFF01FE,,
211,555,0,3000,3,"Murmur",,,,,,,,,,,,,,,,0xFF01FE,,
258,555,1,3000,3,"Murmur",,,,,,,,,,,,,,,,0xFF01FE,,
206,556,0,0,0,"Darkweaver Syth",,,,,,,,,,,,,,,,0xFF01FE,,
252,556,1,0,0,"Darkweaver Syth",,,,,,,,,,,,,,,,0xFF01FE,,
207,556,0,1000,1,"Talon King Ikiss",,,,,,,,,,,,,,,,0xFF01FE,,
253,556,1,1000,1,"Anzu",,,,,,,,,,,,,,,,0xFF01FE,,
254,556,1,2000,2,"Talon King Ikiss",,,,,,,,,,,,,,,,0xFF01FE,,
203,557,0,0,0,"Pandemonius",,,,,,,,,,,,,,,,0xFF01FE,,
248,557,1,0,0,"Pandemonius",,,,,,,,,,,,,,,,0xFF01FE,,
204,557,0,1000,1,"Tavarok",,,,,,,,,,,,,,,,0xFF01FE,,
249,557,1,1000,1,"Tavarok",,,,,,,,,,,,,,,,0xFF01FE,,
250,557,1,1500,2,"Yor",,,,,,,,,,,,,,,,0xFF01FE,,
205,557,0,2000,2,"Nexus-Prince Shaffar",,,,,,,,,,,,,,,,0xFF01FE,,
251,557,1,2500,3,"Nexus-Prince Shaffar",,,,,,,,,,,,,,,,0xFF01FE,,
201,558,0,0,0,"Shirrak the Dead Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
246,558,1,0,0,"Shirrak the Dead Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
202,558,0,1000,1,"Exarch Maladaar",,,,,,,,,,,,,,,,0xFF01FE,,
247,558,1,1000,1,"Exarch Maladaar",,,,,,,,,,,,,,,,0xFF01FE,,
286,560,1,-1000,2,"Lieutenant Drake",,,,,,,,,,,,,,,,0xFF01FE,,
285,560,0,1000,2,"Lieutenant Drake",,,,,,,,,,,,,,,,0xFF01FE,,
283,560,0,2000,1,"Captain Skarloc",,,,,,,,,,,,,,,,0xFF01FE,,
284,560,1,2000,1,"Captain Skarloc",,,,,,,,,,,,,,,,0xFF01FE,,
281,560,0,3000,0,"Epoch Hunter",,,,,,,,,,,,,,,,0xFF01FE,,
282,560,1,3000,0,"Epoch Hunter",,,,,,,,,,,,,,,,0xFF01FE,,
601,564,0,0,0,"High Warlord Naj'entus",,,,,,,,,,,,,,,,0xFF01FE,,
602,564,0,1000,1,"Supremus",,,,,,,,,,,,,,,,0xFF01FE,,
603,564,0,2000,2,"Shade of Akama",,,,,,,,,,,,,,,,0xFF01FE,,
604,564,0,3000,3,"Teron Gorefiend",,,,,,,,,,,,,,,,0xFF01FE,,
605,564,0,4000,4,"Gurtogg Bloodboil",,,,,,,,,,,,,,,,0xFF01FE,,
606,564,0,5000,5,"Reliquary of Souls",,,,,,,,,,,,,,,,0xFF01FE,,
607,564,0,6000,6,"Mother Shahraz",,,,,,,,,,,,,,,,0xFF01FE,,
608,564,0,7000,7,"The Illidari Council",,,,,,,,,,,,,,,,0xFF01FE,,
609,564,0,8000,8,"Illidan Stormrage",,,,,,,,,,,,,,,,0xFF01FE,,
649,565,0,0,0,"High King Maulgar",,,,,,,,,,,,,,,,0xFF01FE,,
650,565,0,1000,1,"Gruul the Dragonkiller",,,,,,,,,,,,,,,,0xFF01FE,,
778,568,0,0,0,"Akil'zon",,,,,,,,,,,,,,,,0xFF01FE,,
779,568,0,1000,1,"Nalorakk",,,,,,,,,,,,,,,,0xFF01FE,,
780,568,0,2000,2,"Jan'alai",,,,,,,,,,,,,,,,0xFF01FE,,
781,568,0,3000,3,"Halazzi",,,,,,,,,,,,,,,,0xFF01FE,,
782,568,0,4000,4,"Hex Lord Malacrass",,,,,,,,,,,,,,,,0xFF01FE,,
783,568,0,5000,5,"Zul'jin",,,,,,,,,,,,,,,,0xFF01FE,,
571,574,0,0,0,"Prince Keleseth",,,,,,,,,,,,,,,,0xFF01FE,,
572,574,1,1000,0,"Prince Keleseth",,,,,,,,,,,,,,,,0xFF01FE,,
573,574,0,1000,1,"Skarvold & Dalronn",,,,,,,,,,,,,,,,0xFF01FE,,
574,574,1,2000,1,"Skarvold & Dalronn",,,,,,,,,,,,,,,,0xFF01FE,,
575,574,0,2000,2,"Ingvar the Plunderer",,,,,,,,,,,,,,,,0xFF01FE,,
576,574,1,3000,2,"Ingvar the Plunderer",,,,,,,,,,,,,,,,0xFF01FE,,
577,575,0,0,0,"Svala Sorrowgrave",,,,,,,,,,,,,,,,0xFF01FE,,
578,575,1,1000,0,"Svala Sorrowgrave",,,,,,,,,,,,,,,,0xFF01FE,,
579,575,0,1000,1,"Gortok Palehoof",,,,,,,,,,,,,,,,0xFF01FE,,
580,575,1,2000,1,"Gortok Palehoof",,,,,,,,,,,,,,,,0xFF01FE,,
581,575,0,2000,2,"Skadi the Ruthless",,,,,,,,,,,,,,,,0xFF01FE,,
582,575,1,3000,2,"Skadi the Ruthless",,,,,,,,,,,,,,,,0xFF01FE,,
583,575,0,3000,3,"King Ymiron",,,,,,,,,,,,,,,,0xFF01FE,,
584,575,1,4000,3,"King Ymiron",,,,,,,,,,,,,,,,0xFF01FE,,
519,576,1,0,0,"Frozen Commander",,,,,,,,,,,,,,,,0xFF01FE,,
520,576,0,0,0,"Grand Magus Telestra",,,,,,,,,,,,,,,,0xFF01FE,,
521,576,1,1000,1,"Grand Magus Telestra",,,,,,,,,,,,,,,,0xFF01FE,,
522,576,0,1000,1,"Anomalus",,,,,,,,,,,,,,,,0xFF01FE,,
523,576,1,2000,2,"Anomalus",,,,,,,,,,,,,,,,0xFF01FE,,
524,576,0,2000,2,"Ormorok the Tree-Shaper",,,,,,,,,,,,,,,,0xFF01FE,,
525,576,1,3000,3,"Ormrok the Tree-Shaper",,,,,,,,,,,,,,,,0xFF01FE,,
526,576,0,3000,3,"Keristrasza",,,,,,,,,,,,,,,,0xFF01FE,,
527,576,1,4000,4,"Keristrasza",,,,,,,,,,,,,,,,0xFF01FE,,
528,578,0,0,0,"Drakos the Interrogator",,,,,,,,,,,,,,,,0xFF01FE,,
529,578,1,1000,0,"Drakos the Interrogator",,,,,,,,,,,,,,,,0xFF01FE,,
530,578,0,1000,1,"Varos Cloudstrider",,,,,,,,,,,,,,,,0xFF01FE,,
531,578,1,2000,1,"Varos Cloudstrider",,,,,,,,,,,,,,,,0xFF01FE,,
532,578,0,2000,2,"Mage-Lord Urom",,,,,,,,,,,,,,,,0xFF01FE,,
533,578,1,3000,2,"Mage-Lord Urom",,,,,,,,,,,,,,,,0xFF01FE,,
534,578,0,3000,3,"Ley-Guardian Eregos",,,,,,,,,,,,,,,,0xFF01FE,,
535,578,1,4000,3,"Ley-Guardian Eregos",,,,,,,,,,,,,,,,0xFF01FE,,
724,580,0,0,0,"Kalecgos",,,,,,,,,,,,,,,,0xFF01FE,,
725,580,0,1000,1,"Brutallus",,,,,,,,,,,,,,,,0xFF01FE,,
726,580,0,2000,2,"Felmyst",,,,,,,,,,,,,,,,0xFF01FE,,
727,580,0,3000,3,"Eredar Twins",,,,,,,,,,,,,,,,0xFF01FE,,
728,580,0,4000,4,"M'uru",,,,,,,,,,,,,,,,0xFF01FE,,
729,580,0,5000,5,"Kil'jaeden",,,,,,,,,,,,,,,,0xFF01FE,,
414,585,0,0,0,"Selin Fireheart",,,,,,,,,,,,,,,,0xFF01FE,,
415,585,1,1000,0,"Selin Fireheart",,,,,,,,,,,,,,,,0xFF01FE,,
416,585,0,1000,1,"Vexallus",,,,,,,,,,,,,,,,0xFF01FE,,
417,585,1,2000,1,"Vexallus",,,,,,,,,,,,,,,,0xFF01FE,,
418,585,0,2000,2,"Priestess Delrissa",,,,,,,,,,,,,,,,0xFF01FE,,
419,585,1,3000,2,"Priestess Delrissa",,,,,,,,,,,,,,,,0xFF01FE,,
420,585,0,3000,3,"Kael'thas Sunstrider",,,,,,,,,,,,,,,,0xFF01FE,,
421,585,1,4000,3,"Kael'thas Sunstrider",,,,,,,,,,,,,,,,0xFF01FE,,
293,595,0,0,0,"Meathook",,,,,,,,,,,,,,,,0xFF01FE,,
297,595,1,0,0,"Meathook",,,,,,,,,,,,,,,,0xFF01FE,,
294,595,0,1000,1,"Salram the Fleshcrafter",,,,,,,,,,,,,,,,0xFF01FE,,
298,595,1,1000,1,"Salram the Fleshcrafter",,,,,,,,,,,,,,,,0xFF01FE,,
295,595,0,2000,2,"Chrono-Lord Epoch",,,,,,,,,,,,,,,,0xFF01FE,,
299,595,1,2000,2,"Chrono-Lord Epoch",,,,,,,,,,,,,,,,0xFF01FE,,
296,595,0,3000,3,"Mal'ganis",,,,,,,,,,,,,,,,0xFF01FE,,
300,595,1,3000,3,"Mal'ganis",,,,,,,,,,,,,,,,0xFF01FE,,
563,599,0,0,0,"Krystallus",,,,,,,,,,,,,,,,0xFF01FE,,
564,599,1,1000,0,"Krystallus",,,,,,,,,,,,,,,,0xFF01FE,,
565,599,0,1000,1,"Maiden of Grief",,,,,,,,,,,,,,,,0xFF01FE,,
566,599,1,2000,1,"Maiden of Grief",,,,,,,,,,,,,,,,0xFF01FE,,
567,599,0,2000,2,"Tribunal of Ages",,,,,,,,,,,,,,,,0xFF01FE,,
568,599,1,3000,2,"Tribunal of Ages",,,,,,,,,,,,,,,,0xFF01FE,,
569,599,0,3000,3,"Sjonnir the Ironshaper",,,,,,,,,,,,,,,,0xFF01FE,,
570,599,1,4000,3,"Sjonnir the Ironshaper",,,,,,,,,,,,,,,,0xFF01FE,,
369,600,0,0,0,"Trollgore",,,,,,,,,,,,,,,,0xFF01FE,,
370,600,1,1000,0,"Trollgore",,,,,,,,,,,,,,,,0xFF01FE,,
371,600,0,1000,1,"Novos the Summoner",,,,,,,,,,,,,,,,0xFF01FE,,
372,600,1,2000,1,"Novos the Summoner",,,,,,,,,,,,,,,,0xFF01FE,,
373,600,0,2000,2,"King Dred",,,,,,,,,,,,,,,,0xFF01FE,,
374,600,1,3000,2,"King Dred",,,,,,,,,,,,,,,,0xFF01FE,,
375,600,0,3000,3,"The Prophet Tharon'ja",,,,,,,,,,,,,,,,0xFF01FE,,
376,600,1,4000,3,"The Prophet Tharon'ja",,,,,,,,,,,,,,,,0xFF01FE,,
216,601,0,0,0,"Krik'thir the Gatewatcher",,,,,,,,,,,,,,,,0xFF01FE,,
264,601,1,0,0,"Krik'thir the Gatewatcher",,,,,,,,,,,,,,,,0xFF01FE,,
217,601,0,1000,1,"Hadronox",,,,,,,,,,,,,,,,0xFF01FE,,
265,601,1,1000,1,"Hadronox",,,,,,,,,,,,,,,,0xFF01FE,,
218,601,0,2000,2,"Anub'arak",,,,,,,,,,,,,,,,0xFF01FE,,
266,601,1,2000,2,"Anub'arak",,,,,,,,,,,,,,,,0xFF01FE,,
555,602,0,0,0,"General Bjarngrim",,,,,,,,,,,,,,,,0xFF01FE,,
556,602,1,1000,0,"General Bjarngrim",,,,,,,,,,,,,,,,0xFF01FE,,
557,602,0,1000,1,"Volkhan",,,,,,,,,,,,,,,,0xFF01FE,,
558,602,1,2000,1,"Volkhan",,,,,,,,,,,,,,,,0xFF01FE,,
559,602,0,2000,2,"Ionar",,,,,,,,,,,,,,,,0xFF01FE,,
560,602,1,3000,2,"Ionar",,,,,,,,,,,,,,,,0xFF01FE,,
561,602,0,3000,3,"Loken",,,,,,,,,,,,,,,,0xFF01FE,,
562,602,1,4000,3,"Loken",,,,,,,,,,,,,,,,0xFF01FE,,
744,603,0,0,0,"Flame Leviathan",,,,,,,,,,,,,,,,0xFF01FE,,
758,603,1,0,0,"Flame Leviathan",,,,,,,,,,,,,,,,0xFF01FE,,
745,603,0,1000,1,"Ignis the Furnace Master",,,,,,,,,,,,,,,,0xFF01FE,,
759,603,1,1000,1,"Ignis the Furnace Master",,,,,,,,,,,,,,,,0xFF01FE,,
746,603,0,2000,2,"Razorscale",,,,,,,,,,,,,,,,0xFF01FE,,
747,603,0,3000,3,"XT-002 Deconstructor",,,,,,,,,,,,,,,,0xFF01FE,,
748,603,0,4000,4,"The Iron Council",,,,,,,,,,,,,,,,0xFF01FE,,
760,603,1,4500,2,"Razorscale",,,,,,,,,,,,,,,,0xFF01FE,,
749,603,0,5000,5,"Kologarn",,,,,,,,,,,,,,,,0xFF01FE,,
761,603,1,5500,3,"XT-002 Deconstructor",,,,,,,,,,,,,,,,0xFF01FE,,
750,603,0,6000,6,"Auriaya",,,,,,,,,,,,,,,,0xFF01FE,,
762,603,1,6500,4,"The Iron Council",,,,,,,,,,,,,,,,0xFF01FE,,
751,603,0,7000,7,"Hodir",,,,,,,,,,,,,,,,0xFF01FE,,
763,603,1,7500,5,"Kologarn",,,,,,,,,,,,,,,,0xFF01FE,,
752,603,0,8000,8,"Thorim",,,,,,,,,,,,,,,,0xFF01FE,,
764,603,1,8500,6,"Auriaya",,,,,,,,,,,,,,,,0xFF01FE,,
753,603,0,9000,9,"Freya",,,,,,,,,,,,,,,,0xFF01FE,,
765,603,1,9500,7,"Hodir",,,,,,,,,,,,,,,,0xFF01FE,,
754,603,0,10000,10,"Mimiron",,,,,,,,,,,,,,,,0xFF01FE,,
766,603,1,10500,8,"Thorim",,,,,,,,,,,,,,,,0xFF01FE,,
755,603,0,11000,11,"General Vezax",,,,,,,,,,,,,,,,0xFF01FE,,
767,603,1,11500,9,"Freya",,,,,,,,,,,,,,,,0xFF01FE,,
756,603,0,12000,12,"Yogg-Saron",,,,,,,,,,,,,,,,0xFF01FE,,
768,603,1,12500,10,"Mimiron",,,,,,,,,,,,,,,,0xFF01FE,,
757,603,0,13000,13,"Algalon the Observer",,,,,,,,,,,,,,,,0xFF01FE,,
769,603,1,13500,11,"General Vezax",,,,,,,,,,,,,,,,0xFF01FE,,
770,603,1,14500,12,"Yogg-Saron",,,,,,,,,,,,,,,,0xFF01FE,,
771,603,1,15500,13,"Algalon the Observer",,,,,,,,,,,,,,,,0xFF01FE,,
383,604,0,0,0,"Slad'ran",,,,,,,,,,,,,,,,0xFF01FE,,
384,604,1,1000,0,"Slad'ran",,,,,,,,,,,,,,,,0xFF01FE,,
385,604,0,1000,1,"Drakkari Colossus",,,,,,,,,,,,,,,,0xFF01FE,,
386,604,1,2000,1,"Drakkari Colossus",,,,,,,,,,,,,,,,0xFF01FE,,
387,604,0,2000,2,"Moorabi",,,,,,,,,,,,,,,,0xFF01FE,,
388,604,1,3000,2,"Moorabi",,,,,,,,,,,,,,,,0xFF01FE,,
390,604,0,3000,3,"Gal'darah",,,,,,,,,,,,,,,,0xFF01FE,,
389,604,1,4000,3,"Eck the Ferocious",,,,,,,,,,,,,,,,0xFF01FE,,
391,604,1,5000,4,"Gal'darah",,,,,,,,,,,,,,,,0xFF01FE,,
541,608,0,0,0,"First Prisoner",,,,,,,,,,,,,,,,0xFF01FE,,
542,608,1,1000,0,"First Prisoner",,,,,,,,,,,,,,,,0xFF01FE,,
543,608,0,1000,1,"Second Prisoner",,,,,,,,,,,,,,,,0xFF01FE,,
544,608,1,2000,1,"Second Prisoner",,,,,,,,,,,,,,,,0xFF01FE,,
545,608,0,2000,2,"Cyanigosa",,,,,,,,,,,,,,,,0xFF01FE,,
546,608,1,3000,2,"Cyanigosa",,,,,,,,,,,,,,,,0xFF01FE,,
740,615,0,-1000,2,"Vesperon",,,,,,,,,,,,,,,,0xFF01FE,,
736,615,0,0,0,"Tenebron",,,,,,,,,,,,,,,,0xFF01FE,,
741,615,1,0,2,"Vesperon",,,,,,,,,,,,,,,,0xFF01FE,,
737,615,1,1000,0,"Tenebron",,,,,,,,,,,,,,,,0xFF01FE,,
738,615,0,1000,1,"Shadron",,,,,,,,,,,,,,,,0xFF01FE,,
739,615,1,2000,1,"Shadron",,,,,,,,,,,,,,,,0xFF01FE,,
742,615,0,3000,3,"Sartharion",,,,,,,,,,,,,,,,0xFF01FE,,
743,615,1,4000,3,"Sartharion",,,,,,,,,,,,,,,,0xFF01FE,,
734,616,0,0,0,"Malygos",,,,,,,,,,,,,,,,0xFF01FE,,
735,616,1,1000,0,"Malygos",,,,,,,,,,,,,,,,0xFF01FE,,
212,619,0,0,0,"Elder Nadox",,,,,,,,,,,,,,,,0xFF01FE,,
259,619,1,0,0,"Elder Nadox",,,,,,,,,,,,,,,,0xFF01FE,,
213,619,0,1000,1,"Prince Taldaram",,,,,,,,,,,,,,,,0xFF01FE,,
260,619,1,1000,1,"Prince Taldaram",,,,,,,,,,,,,,,,0xFF01FE,,
214,619,0,2000,2,"Jedoga Shadowseeker",,,,,,,,,,,,,,,,0xFF01FE,,
261,619,1,2000,2,"Jedoga Shadowseeker",,,,,,,,,,,,,,,,0xFF01FE,,
215,619,0,3000,3,"Herald Volazj",,,,,,,,,,,,,,,,0xFF01FE,,
262,619,1,3000,3,"Amanitar",,,,,,,,,,,,,,,,0xFF01FE,,
263,619,1,4000,4,"Herald Volazj",,,,,,,,,,,,,,,,0xFF01FE,,
772,624,0,0,0,"Archavon the Stone Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
773,624,1,1000,0,"Archavon the Stone Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
774,624,0,1000,1,"Emalon the Storm Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
775,624,1,2000,1,"Emalon the Storm Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
776,624,0,2000,2,"Koralon the Flame Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
777,624,1,3000,2,"Koralon the Flame Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
885,624,0,3000,3,"Toravon the Ice Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
886,624,1,4000,3,"Toravon the Ice Watcher",,,,,,,,,,,,,,,,0xFF01FE,,
845,631,0,0,0,"Lord Marrowgar",,,,,,,,,,,,,,,,0xFF01FE,,
857,631,1,0,0,"Lord Marrowgar",,,,,,,,,,,,,,,,0xFF01FE,,
846,631,0,1000,1,"Lady Deathwhisper",,,,,,,,,,,,,,,,0xFF01FE,,
858,631,1,1000,1,"Lady Deathwhisper",,,,,,,,,,,,,,,,0xFF01FE,,
847,631,0,2000,2,"Icecrown Gunship Battle",,,,,,,,,,,,,,,,0xFF01FE,,
859,631,1,2000,2,"Icecrown Gunship Battle",,,,,,,,,,,,,,,,0xFF01FE,,
848,631,0,3000,3,"Deathbringer Saurfang",,,,,,,,,,,,,,,,0xFF01FE,,
860,631,1,3000,3,"Deathbringer Saurfang",,,,,,,,,,,,,,,,0xFF01FE,,
849,631,0,4000,4,"Festergut",,,,,,,,,,,,,,,,0xFF01FE,,
861,631,1,4000,4,"Festergut",,,,,,,,,,,,,,,,0xFF01FE,,
850,631,0,5000,5,"Rotface",,,,,,,,,,,,,,,,0xFF01FE,,
862,631,1,5000,5,"Rotface",,,,,,,,,,,,,,,,0xFF01FE,,
851,631,0,6000,6,"Professor Putricide",,,,,,,,,,,,,,,,0xFF01FE,,
863,631,1,6000,6,"Professor Putricide",,,,,,,,,,,,,,,,0xFF01FE,,
852,631,0,7000,7,"Blood Council",,,,,,,,,,,,,,,,0xFF01FE,,
864,631,1,7000,7,"Blood Council",,,,,,,,,,,,,,,,0xFF01FE,,
853,631,0,8000,8,"Queen Lana'thel",,,,,,,,,,,,,,,,0xFF01FE,,
865,631,1,8000,8,"Queen Lana'thel",,,,,,,,,,,,,,,,0xFF01FE,,
854,631,0,9000,9,"Valithria Dreamwalker",,,,,,,,,,,,,,,,0xFF01FE,,
866,631,1,9000,9,"Valithria Dreamwalker",,,,,,,,,,,,,,,,0xFF01FE,,
855,631,0,10000,10,"Sindragosa",,,,,,,,,,,,,,,,0xFF01FE,,
867,631,1,10000,10,"Sindragosa",,,,,,,,,,,,,,,,0xFF01FE,,
856,631,0,11000,11,"The Lich King",,,,,,,,,,,,,,,,0xFF01FE,,
868,631,1,11000,11,"The Lich King",,,,,,,,,,,,,,,,0xFF01FE,,
829,632,0,0,0,"Bronjahm",,,,,,,,,,,,,,,,0xFF01FE,,
830,632,1,1000,0,"Bronjahm ",,,,,,,,,,,,,,,,0xFF01FE,,
831,632,0,1000,1,"Devourer of Souls",,,,,,,,,,,,,,,,0xFF01FE,,
832,632,1,2000,1,"Devourer of Souls",,,,,,,,,,,,,,,,0xFF01FE,,
629,649,0,0,0,"Northrend Beasts",,,,,,,,,,,,,,,,0xFF01FE,,
630,649,1,1000,0,"Northrend Beasts",,,,,,,,,,,,,,,,0xFF01FE,,
633,649,0,1000,1,"Lord Jaraxxus",,,,,,,,,,,,,,,,0xFF01FE,,
631,649,2,2000,0,"Northrend Beasts",,,,,,,,,,,,,,,,0xFF01FE,,
634,649,1,2000,1,"Lord Jaraxxus",,,,,,,,,,,,,,,,0xFF01FE,,
637,649,0,2000,2,"Faction Champions",,,,,,,,,,,,,,,,0xFF01FE,,
632,649,3,3000,0,"Northrend Beasts",,,,,,,,,,,,,,,,0xFF01FE,,
635,649,2,3000,1,"Lord Jaraxxus",,,,,,,,,,,,,,,,0xFF01FE,,
638,649,1,3000,2,"Faction Champions",,,,,,,,,,,,,,,,0xFF01FE,,
641,649,0,3000,3,"Val'kyr Twins",,,,,,,,,,,,,,,,0xFF01FE,,
636,649,3,4000,1,"Lord Jaraxxus",,,,,,,,,,,,,,,,0xFF01FE,,
639,649,2,4000,2,"Faction Champions",,,,,,,,,,,,,,,,0xFF01FE,,
642,649,1,4000,3,"Val'kyr Twins",,,,,,,,,,,,,,,,0xFF01FE,,
645,649,0,4000,4,"Anub'arak",,,,,,,,,,,,,,,,0xFF01FE,,
640,649,3,5000,2,"Faction Champions",,,,,,,,,,,,,,,,0xFF01FE,,
643,649,2,5000,3,"Val'kyr Twins",,,,,,,,,,,,,,,,0xFF01FE,,
646,649,1,5000,4,"Anub'arak",,,,,,,,,,,,,,,,0xFF01FE,,
644,649,3,6000,3,"Val'kyr Twins",,,,,,,,,,,,,,,,0xFF01FE,,
647,649,2,6000,4,"Anub'arak",,,,,,,,,,,,,,,,0xFF01FE,,
648,649,3,7000,4,"Anub'arak",,,,,,,,,,,,,,,,0xFF01FE,,
334,650,0,0,0,"Grand Champions",,,,,,,,,,,,,,,,0xFF01FE,,
336,650,1,1000,0,"Grand Champions",,,,,,,,,,,,,,,,0xFF01FE,,
338,650,0,1000,1,"Argent Champion",,,,,,,,,,,,,,,,0xFF01FE,,
339,650,1,2000,1,"Argent Champion",,,,,,,,,,,,,,,,0xFF01FE,,
340,650,0,2000,2,"The Black Knight",,,,,,,,,,,,,,,,0xFF01FE,,
341,650,1,3000,2,"The Black Knight",,,,,,,,,,,,,,,,0xFF01FE,,
833,658,0,0,0,"Forgemaster Garfrost",,,,,,,,,,,,,,,,0xFF01FE,,
834,658,1,1000,0,"Forgemaster Garfrost",,,,,,,,,,,,,,,,0xFF01FE,,
835,658,0,1000,1,"Krick",,,,,,,,,,,,,,,,0xFF01FE,,
836,658,1,2000,1,"Krick",,,,,,,,,,,,,,,,0xFF01FE,,
837,658,0,2000,2,"Overlrod Tyrannus",,,,,,,,,,,,,,,,0xFF01FE,,
838,658,1,3000,2,"Overlrod Tyrannus",,,,,,,,,,,,,,,,0xFF01FE,,
842,668,1,0,1,"Falric",,,,,,,,,,,,,,,,0xFF01FE,,
841,668,0,500,1,"Falric",,,,,,,,,,,,,,,,0xFF01FE,,
840,668,1,1000,0,"Marwyn",,,,,,,,,,,,,,,,0xFF01FE,,
839,668,0,1500,0,"Marwyn",,,,,,,,,,,,,,,,0xFF01FE,,
843,668,0,2000,2,"Escaped from Arthas",,,,,,,,,,,,,,,,0xFF01FE,,
844,668,1,3000,2,"Escaped from Arthas",,,,,,,,,,,,,,,,0xFF01FE,,
889,724,1,-1000,1,"Baltharus the Warborn",,,,,,,,,,,,,,,,0xFF01FE,,
