id;value;displayid;
9555;Encrypted Letter;3093;
9556;Hallowed Rune;22443;
9557;Hallowed Sigil;6015;
9558;Encrypted Memorandum;7629;
9559;Encrypted Scroll;1301;
9560;Encrypted Parchment;7798;
9561;Hallowed Tablet;18500;
9562;Rune-Inscribed Tablet;18500;
9563;Consecrated Rune;22443;
9564;Etched Tablet;18500;
9565;Etched Note;7798;
9566;Etched Rune;22443;
9567;Etched Sigil;6015;
9568;Rune-Inscribed Parchment;7798;
9569;Hallowed Scroll;1301;
9570;Consecrated Letter;3093;
9571;Glyphic Letter;3093;
9572;Glyphic Rune;3669;
9573;Glyphic Memorandum;7629;
9574;Glyphic Scroll;1301;
9575;Glyphic Tablet;18500;
9576;Tainted Letter;3093;
9577;Tainted Memorandum;7629;
9578;Tainted Scroll;1301;
9579;Tainted Parchment;7798;
9580;Verdant Sigil;6015;
9581;Verdant Note;7798;
9587;Thawpelt Sack;21202;
9588;Nogg's Gold Ring;224;
9589;Encrusted Minerals;18514;
9590;Splintered Log;929;
9591;Resilient Sinew;18517;
9592;Metallic Fragments;18519;
9593;Treant Muisek;18524;
9594;Beast Muisek;61417;
9595;Hippogryph Muisek;18525;
9596;Faerie Dragon Muisek;18526;
9597;Mountain Giant Muisek;18527;
9598;Sleeping Robes;19011;
9599;Barkmail Leggings;26948;
9600;Lace Pants;18911;
9601;Cushioned Boots;28142;
9602;Brushwood Blade;20069;
9603;Gritroot Staff;20432;
9604;Mechanic's Pipehammer;18531;
9605;Repairman's Cape;23134;
9606;Treant Muisek Vessel;18532;
9607;Bastion of Stormwind;18533;
9608;Shoni's Disarming Tool;7494;
9609;Shilly Mitts;18991;
9618;Beast Muisek Vessel;18532;
9619;Hippogryph Muisek Vessel;18532;
9620;Faerie Dragon Muisek Vessel;18532;
9621;Mountain Giant Muisek Vessel;18532;
9622;Reedknot Ring;14432;
9623;Civinad Robes;18883;
9624;Triprunner Dungarees;28195;
9625;Dual Reinforced Leggings;28317;
9626;Dwarven Charge;19302;
9627;Explorers' League Lodestar;11410;
9628;Xerash's Herb Pouch;2593;
9629;A Shrunken Head;18568;
9630;Pratt's Handcrafted Boots;4440;
9631;Pratt's Handcrafted Gloves;28339;
9632;Jangdor's Handcrafted Gloves;28283;
9633;Jangdor's Handcrafted Boots;28281;
9634;Skilled Handling Gloves;18998;
9635;Master Apothecary Cape;18915;
9636;Swashbuckler Sash;4446;
9637;Shinkicker Boots;28252;
9638;Chelonian Cuffs;28118;
9639;The Hand of Antu'sul;28194;
9640;Vice Grips;18573;
9641;Lifeblood Amulet;9854;
9642;Band of the Great Tortoise;9832;
9643;Optomatic Deflector;18822;
9644;Thermotastic Egg Timer;18575;
9645;Gnomish Inventor Boots;18906;
9646;Gnomish Water Sinking Device;28172;
9647;Failed Flying Experiment;18577;
9648;Chainlink Towel;28097;
9649;Royal Highmark Vestments;28294;
9650;Honorguard Chestpiece;28279;
9651;Gryphon Rider's Stormhammer;18578;
9652;Gryphon Rider's Leggings;17150;
9653;Speedy Racer Goggles;18579;
9654;Cairnstone Sliver;28307;
9655;Seedtime Hoop;9833;
9656;Granite Grips;18580;
9657;Vinehedge Cinch;28426;
9658;Boots of the Maharishi;19913;
9660;Stargazer Cloak;28299;
9661;Earthclasp Barrier;20900;
9662;Rushridge Boots;28295;
9663;Dawnrider's Chestpiece;28315;
9664;Sentinel's Guard;18584;
9665;Wingcrest Gloves;18586;
9666;Stronghorn Girdle;28300;
9678;Tok'kar's Murloc Basher;5233;
9679;Tok'kar's Murloc Chopper;22223;
9680;Tok'kar's Murloc Shanker;20475;
9681;Grilled King Crawler Legs;7980;
9682;Leather Chef's Belt;28284;
9683;Strength of the Treant;20289;
9684;Force of the Hippogryph;19130;
9685;Will of the Mountain Giant;19311;
9686;Spirit of the Faerie Dragon;19746;
9687;Grappler's Belt;28328;
9698;Gloves of Insight;17186;
9699;Garrison Cloak;28326;
9700;Monster - Item, Sparkler Blue;18633;
9701;Monster - Item, Sparkler Red;18634;
9703;Scorched Cape;28297;
9704;Rustler Gloves;28296;
9705;Tharg's Shoelace;17231;
9706;Tharg's Disk;20975;
9718;Reforged Blade of Heroes;13488;
9719;Broken Blade of Heroes;13488;
35494;Shroud of Winter's Chill;15239;
9738;Gem of Cobrahn;1262;
9739;Gem of Anacondra;1262;
9740;Gem of Pythas;1262;
9741;Gem of Serpentis;1262;
9742;Simple Cord;14710;
9743;Simple Shoes;27532;
9744;Simple Bands;14705;
9745;Simple Cape;27533;
9746;Simple Gloves;14706;
9747;Simple Britches;14711;
9748;Simple Robe;18883;
9749;Simple Blouse;27529;
9750;Gypsy Sash;19034;
9751;Gypsy Sandals;19033;
9752;Gypsy Bands;17169;
9753;Gypsy Buckler;18469;
9754;Gypsy Cloak;23034;
9755;Gypsy Gloves;19032;
9756;Gypsy Trousers;19030;
9757;Gypsy Tunic;19029;
9758;Cadet Belt;22683;
9759;Cadet Boots;22684;
9760;Cadet Bracers;22685;
9761;Cadet Cloak;25960;
9762;Cadet Gauntlets;22686;
9763;Cadet Leggings;22687;
9764;Cadet Shield;18823;
9765;Cadet Vest;22688;
9766;Greenweave Sash;25947;
9767;Greenweave Sandals;25946;
9768;Greenweave Bracers;25939;
9769;Greenweave Branch;28023;
9770;Greenweave Cloak;23106;
9771;Greenweave Gloves;25941;
9772;Greenweave Leggings;25942;
9773;Greenweave Robe;25944;
9774;Greenweave Vest;25949;
9775;Bandit Cinch;28177;
9776;Bandit Boots;16981;
9777;Bandit Bracers;28427;
9778;Bandit Buckler;20826;
9779;Bandit Cloak;28433;
9780;Bandit Gloves;28428;
9781;Bandit Pants;28431;
9782;Bandit Jerkin;28430;
9783;Raider's Chestpiece;13011;
9784;Raider's Boots;6987;
9785;Raider's Bracers;25776;
9786;Raider's Cloak;25978;
9787;Raider's Gauntlets;13484;
9788;Raider's Belt;25775;
9789;Raider's Legguards;3541;
9790;Raider's Shield;18657;
9791;Ivycloth Tunic;27751;
9792;Ivycloth Boots;16881;
9793;Ivycloth Bracelets;14736;
9794;Ivycloth Cloak;27752;
9795;Ivycloth Gloves;27753;
9796;Ivycloth Mantle;27754;
9797;Ivycloth Pants;27755;
9798;Ivycloth Robe;18120;
9799;Ivycloth Sash;28477;
9800;Ivy Orb;27756;
9801;Superior Belt;6760;
9802;Superior Boots;27761;
9803;Superior Bracers;27760;
9804;Superior Buckler;1685;
9805;Superior Cloak;23108;
9806;Superior Gloves;2358;
9807;Superior Shoulders;27759;
9808;Superior Leggings;691;
9809;Superior Tunic;27758;
9810;Fortified Boots;6869;
9811;Fortified Bracers;25772;
9812;Fortified Cloak;25975;
9813;Fortified Gauntlets;25773;
9814;Fortified Belt;25771;
9815;Fortified Leggings;697;
9816;Fortified Shield;26121;
9817;Fortified Spaulders;25774;
9818;Fortified Chain;1019;
9819;Durable Tunic;27860;
9820;Durable Boots;27861;
9821;Durable Bracers;27857;
9822;Durable Cape;27858;
9823;Durable Gloves;10508;
9824;Durable Shoulders;27855;
9825;Durable Pants;27853;
9826;Durable Robe;27856;
9827;Scaled Leather Belt;14936;
9828;Scaled Leather Boots;11581;
9829;Scaled Leather Bracers;28482;
9830;Scaled Shield;6274;
9831;Scaled Cloak;27768;
9832;Scaled Leather Gloves;27766;
9833;Scaled Leather Leggings;6772;
9834;Scaled Leather Shoulders;27764;
9835;Scaled Leather Tunic;11580;
9836;Banded Armor;27769;
9837;Banded Bracers;27783;
9838;Banded Cloak;27779;
9839;Banded Gauntlets;27778;
9840;Banded Girdle;27777;
9841;Banded Leggings;27770;
9842;Banded Pauldrons;27776;
9843;Banded Shield;26060;
9844;Conjurer's Vest;28424;
9845;Conjurer's Shoes;50497;
9846;Conjurer's Bracers;28418;
9847;Conjurer's Cloak;15236;
9848;Conjurer's Gloves;28422;
9849;Conjurer's Hood;16638;
9850;Conjurer's Mantle;12980;
9851;Conjurer's Breeches;28419;
9852;Conjurer's Robe;28425;
9853;Conjurer's Cinch;28421;
9854;Archer's Jerkin;14068;
9855;Archer's Belt;11956;
9856;Archer's Boots;28734;
9857;Archer's Bracers;18930;
9858;Archer's Buckler;18488;
9859;Archer's Cap;26550;
9860;Archer's Cloak;23004;
9861;Archer's Gloves;18929;
9862;Archer's Trousers;14635;
9863;Archer's Shoulderpads;8098;
9864;Renegade Boots;25980;
9865;Renegade Bracers;25786;
9866;Renegade Chestguard;25787;
9867;Renegade Cloak;26251;
9868;Renegade Gauntlets;25788;
9869;Renegade Belt;25784;
9870;Renegade Circlet;25991;
9871;Renegade Leggings;26249;
9872;Renegade Pauldrons;25790;
9873;Renegade Shield;25988;
9874;Sorcerer Drape;28064;
9875;Sorcerer Sash;26470;
9876;Sorcerer Slippers;28088;
9877;Sorcerer Cloak;28065;
9878;Sorcerer Hat;28067;
9879;Sorcerer Bracelets;28057;
9880;Sorcerer Gloves;28062;
9881;Sorcerer Mantle;28068;
9882;Sorcerer Sphere;21603;
9883;Sorcerer Pants;28061;
9884;Sorcerer Robe;28074;
9885;Huntsman's Boots;18904;
9886;Huntsman's Bands;3606;
9887;Huntsman's Armor;18903;
9888;Elven Protector;20873;
9889;Huntsman's Cap;18921;
9890;Huntsman's Cape;23023;
9891;Huntsman's Belt;17129;
9892;Huntsman's Gloves;18912;
9893;Huntsman's Leggings;27807;
9894;Huntsman's Shoulders;3169;
9895;Jazeraint Boots;27787;
9896;Jazeraint Bracers;27788;
9897;Jazeraint Chestguard;27784;
9898;Jazeraint Cloak;27794;
9899;Jazeraint Shield;25911;
9900;Jazeraint Gauntlets;27791;
9901;Jazeraint Belt;27792;
9902;Jazeraint Helm;27789;
9903;Jazeraint Leggings;26163;
9904;Jazeraint Pauldrons;27790;
9905;Royal Blouse;28411;
9906;Royal Sash;28415;
9907;Royal Boots;11548;
9908;Royal Cape;28412;
9909;Royal Bands;28410;
9910;Royal Gloves;28413;
9911;Royal Trousers;28416;
9912;Royal Amice;28409;
9913;Royal Gown;28417;
9914;Royal Scepter;18714;
9915;Royal Headband;28414;
9916;Tracker's Belt;17115;
9917;Tracker's Boots;18937;
9918;Brigade Defender;25940;
9919;Tracker's Cloak;23073;
9920;Tracker's Gloves;18936;
9921;Tracker's Headband;19010;
9922;Tracker's Leggings;18935;
9923;Tracker's Shoulderpads;18939;
9924;Tracker's Tunic;18934;
9925;Tracker's Wristguards;18938;
9926;Brigade Boots;25930;
9927;Brigade Bracers;25931;
9928;Brigade Breastplate;25932;
9929;Brigade Cloak;25938;
9930;Brigade Gauntlets;25933;
9931;Brigade Girdle;25928;
9932;Brigade Circlet;25937;
9933;Brigade Leggings;25934;
9934;Brigade Pauldrons;25935;
9935;Embossed Plate Shield;18819;
9936;Abjurer's Boots;28010;
9937;Abjurer's Bands;16936;
9938;Abjurer's Cloak;15040;
9939;Abjurer's Gloves;17130;
9940;Abjurer's Hood;27799;
9941;Abjurer's Mantle;27796;
9942;Abjurer's Pants;14613;
9943;Abjurer's Robe;27800;
9944;Abjurer's Crystal;27801;
9945;Abjurer's Sash;13664;
9946;Abjurer's Tunic;28972;
9947;Chieftain's Belt;14702;
9948;Chieftain's Boots;18944;
9949;Chieftain's Bracers;18945;
9950;Chieftain's Breastplate;18943;
9951;Chieftain's Cloak;23018;
9952;Chieftain's Gloves;18946;
9953;Chieftain's Headdress;11275;
9954;Chieftain's Leggings;18947;
9955;Chieftain's Shoulders;18951;
9956;Warmonger's Bracers;26181;
9957;Warmonger's Chestpiece;26183;
9958;Warmonger's Buckler;26234;
9959;Warmonger's Cloak;26202;
9960;Warmonger's Gauntlets;26185;
9961;Warmonger's Belt;26180;
9962;Warmonger's Greaves;26188;
9963;Warmonger's Circlet;26200;
9964;Warmonger's Leggings;26191;
9965;Warmonger's Pauldrons;26194;
9966;Embossed Plate Armor;27348;
9967;Embossed Plate Gauntlets;27351;
9968;Embossed Plate Girdle;27352;
9969;Embossed Plate Helmet;27511;
9970;Embossed Plate Leggings;27354;
9971;Embossed Plate Pauldrons;27355;
9972;Embossed Plate Bracers;27350;
9973;Embossed Plate Boots;27349;
9974;Overlord's Shield;18815;
9978;Gahz'ridian Detector;21296;
9998;Black Mageweave Vest;24352;
9999;Black Mageweave Leggings;24354;
10000;Margol's Horn;6338;
10001;Black Mageweave Robe;19141;
10002;Shadoweave Pants;19061;
10003;Black Mageweave Gloves;18835;
10004;Shadoweave Robe;24951;
10005;Margol's Gigantic Horn;6338;
10007;Red Mageweave Vest;19114;
10008;White Bandit Mask;41463;
10009;Red Mageweave Pants;16764;
10018;Red Mageweave Gloves;19111;
10019;Dreamweave Gloves;18999;
10021;Dreamweave Vest;18949;
10022;Proof of Deed;16065;
10023;Shadoweave Gloves;19055;
10024;Black Mageweave Headband;18860;
10025;Shadoweave Mask;41842;
10026;Black Mageweave Boots;21154;
10027;Black Mageweave Shoulders;18865;
10028;Shadoweave Shoulders;18866;
10029;Red Mageweave Shoulders;19113;
10030;Admiral's Hat;18872;
10031;Shadoweave Boots;19051;
10033;Red Mageweave Headband;18879;
10034;Tuxedo Shirt;13115;
10035;Tuxedo Pants;13117;
10036;Tuxedo Jacket;13116;
10040;White Wedding Dress;13119;
10041;Dreamweave Circlet;19000;
10042;Cindercloth Robe;14606;
10043;Pious Legwraps;20209;
10044;Cindercloth Boots;18933;
10045;Simple Linen Pants;14450;
10046;Simple Linen Boots;16853;
10047;Simple Kilt;19009;
10048;Colorful Kilt;18914;
10049;Diabolist's Blade;20472;
10050;Mageweave Bag;1282;
10051;Red Mageweave Bag;4056;
10052;Orange Martial Shirt;18916;
10053;Simple Black Dress;19142;
10054;Lavender Mageweave Shirt;18924;
10055;Pink Mageweave Shirt;18923;
10056;Orange Mageweave Shirt;18925;
10057;Duskwoven Tunic;28158;
10058;Duskwoven Sandals;28151;
10059;Duskwoven Bracers;28124;
10060;Duskwoven Cape;28125;
10061;Duskwoven Turban;44716;
10062;Duskwoven Gloves;29002;
10063;Duskwoven Amice;28123;
10064;Duskwoven Pants;28140;
10065;Duskwoven Robe;28165;
10066;Duskwoven Sash;28155;
10067;Righteous Waistguard;19019;
10068;Righteous Boots;19013;
10069;Righteous Bracers;19014;
10070;Righteous Armor;19012;
10071;Righteous Cloak;23060;
10072;Righteous Gloves;19017;
10073;Righteous Helmet;21309;
10074;Righteous Leggings;19018;
10075;Righteous Spaulders;19020;
10076;Lord's Armguards;19725;
10077;Lord's Breastplate;26327;
10078;Lord's Crest;20972;
10079;Lord's Cape;26331;
10080;Lord's Gauntlets;26328;
10081;Lord's Girdle;19718;
10082;Lord's Boots;26326;
10083;Lord's Crown;26330;
10084;Lord's Legguards;19720;
10085;Lord's Pauldrons;26329;
10086;Gothic Plate Armor;27363;
10087;Gothic Plate Gauntlets;27364;
10088;Gothic Plate Girdle;27365;
10089;Gothic Sabatons;27370;
10090;Gothic Plate Helmet;27366;
10091;Gothic Plate Leggings;27367;
10092;Gothic Plate Spaulders;27371;
10093;Revenant Deflector;27432;
10094;Gothic Plate Vambraces;27368;
10095;Councillor's Boots;27600;
10096;Councillor's Cuffs;27601;
10097;Councillor's Circlet;27606;
10098;Councillor's Cloak;27607;
10099;Councillor's Gloves;27602;
10100;Councillor's Shoulders;27605;
10101;Councillor's Pants;27598;
10102;Councillor's Robes;27609;
10103;Councillor's Sash;27614;
10104;Councillor's Tunic;27599;
10105;Wanderer's Armor;27716;
10106;Wanderer's Boots;27718;
10107;Wanderer's Bracers;27719;
10108;Wanderer's Cloak;27721;
10109;Wanderer's Belt;27717;
10110;Wanderer's Gloves;27726;
10111;Wanderer's Hat;28590;
10112;Wanderer's Leggings;27731;
10113;Wanderer's Shoulders;27733;
10118;Ornate Breastplate;26291;
10119;Ornate Greaves;26297;
10120;Ornate Cloak;26304;
10121;Ornate Gauntlets;26293;
10122;Ornate Girdle;26295;
10123;Ornate Circlet;26303;
10124;Ornate Legguards;19708;
10125;Ornate Pauldrons;26301;
10126;Ornate Bracers;26289;
10127;Revenant Bracers;27426;
10128;Revenant Chestplate;27427;
10129;Revenant Gauntlets;27428;
10130;Revenant Girdle;27429;
10131;Revenant Boots;27425;
10132;Revenant Helmet;19759;
10133;Revenant Leggings;27430;
10134;Revenant Shoulders;27431;
10135;High Councillor's Tunic;27628;
10136;High Councillor's Bracers;27630;
10137;High Councillor's Boots;27633;
10138;High Councillor's Cloak;27631;
10139;High Councillor's Circlet;28852;
10140;High Councillor's Gloves;27639;
10141;High Councillor's Pants;27629;
10142;High Councillor's Mantle;27640;
10143;High Councillor's Robe;27645;
10144;High Councillor's Sash;27647;
10145;Mighty Girdle;18974;
10146;Mighty Boots;27741;
10147;Mighty Armsplints;27740;
10148;Mighty Cloak;27743;
10149;Mighty Gauntlets;27745;
10150;Mighty Helmet;27746;
10151;Mighty Tunic;27739;
10152;Mighty Leggings;18962;
10153;Mighty Spaulders;27748;
10154;Mercurial Girdle;26127;
10155;Mercurial Greaves;26129;
10156;Mercurial Bracers;26122;
10157;Mercurial Breastplate;26123;
10158;Mercurial Guard;26152;
10159;Mercurial Cloak;26141;
10160;Mercurial Circlet;26139;
10161;Mercurial Gauntlets;26125;
10162;Mercurial Legguards;26130;
10163;Mercurial Pauldrons;23490;
10164;Templar Chestplate;27407;
10165;Templar Gauntlets;29014;
10166;Templar Girdle;27411;
10167;Templar Boots;27405;
10168;Templar Crown;27408;
10169;Templar Legplates;27413;
10170;Templar Pauldrons;27414;
10171;Templar Bracers;27406;
10172;Mystical Mantle;28109;
10173;Mystical Bracers;28082;
10174;Mystical Cape;23136;
10175;Mystical Headwrap;44717;
10176;Mystical Gloves;28083;
10177;Mystical Leggings;28084;
10178;Mystical Robe;28112;
10179;Mystical Boots;28080;
10180;Mystical Belt;28079;
10181;Mystical Armor;28078;
10182;Swashbuckler's Breastplate;19002;
10183;Swashbuckler's Boots;6762;
10184;Swashbuckler's Bracers;4382;
10185;Swashbuckler's Cape;23042;
10186;Swashbuckler's Gloves;19005;
10187;Swashbuckler's Eyepatch;27809;
10188;Swashbuckler's Leggings;17137;
10189;Swashbuckler's Shoulderpads;19008;
10190;Swashbuckler's Belt;19001;
10191;Crusader's Armguards;26155;
10192;Crusader's Boots;26160;
10193;Crusader's Armor;26156;
10194;Crusader's Cloak;26173;
10195;Crusader's Shield;26176;
10196;Crusader's Gauntlets;26162;
10197;Crusader's Belt;26158;
10198;Crusader's Helm;26172;
10199;Crusader's Leggings;26163;
10200;Crusader's Pauldrons;26164;
10201;Overlord's Greaves;27400;
10202;Overlord's Vambraces;27402;
10203;Overlord's Chestplate;27397;
10204;Heavy Lamellar Shield;27388;
10205;Overlord's Gauntlets;27398;
10206;Overlord's Girdle;27399;
10207;Overlord's Crown;27404;
10208;Overlord's Legplates;27401;
10209;Overlord's Spaulders;27403;
10210;Elegant Mantle;27867;
10211;Elegant Boots;24291;
10212;Elegant Cloak;15214;
10213;Elegant Bracers;27870;
10214;Elegant Gloves;27868;
10215;Elegant Robes;28992;
10216;Elegant Belt;27842;
10217;Elegant Leggings;25198;
10218;Elegant Tunic;27866;
10219;Elegant Circlet;28851;
10220;Nightshade Tunic;18977;
10221;Nightshade Girdle;18980;
10222;Nightshade Boots;18979;
10223;Nightshade Armguards;18978;
10224;Nightshade Cloak;23048;
10225;Nightshade Gloves;18981;
10226;Nightshade Helmet;18985;
10227;Nightshade Leggings;18982;
10228;Nightshade Spaulders;18983;
10229;Engraved Bracers;26265;
10230;Engraved Breastplate;26267;
10231;Engraved Cape;26278;
10232;Engraved Gauntlets;26269;
10233;Engraved Girdle;26270;
10234;Engraved Boots;26264;
10235;Engraved Helm;26274;
10236;Engraved Leggings;26272;
10237;Engraved Pauldrons;26273;
10238;Heavy Lamellar Boots;27380;
10239;Heavy Lamellar Vambraces;27385;
10240;Heavy Lamellar Chestpiece;27384;
10241;Heavy Lamellar Helm;27387;
10242;Heavy Lamellar Gauntlets;27381;
10243;Heavy Lamellar Girdle;27382;
10244;Heavy Lamellar Leggings;27383;
10245;Heavy Lamellar Pauldrons;27386;
10246;Master's Vest;27821;
10247;Master's Boots;4272;
10248;Master's Bracers;16892;
10249;Master's Cloak;26126;
10250;Master's Hat;27824;
10251;Master's Gloves;16642;
10252;Master's Leggings;27822;
10253;Master's Mantle;27823;
10254;Master's Robe;28479;
10255;Master's Belt;27830;
10256;Adventurer's Bracers;27847;
10257;Adventurer's Boots;27844;
10258;Adventurer's Cape;27850;
10259;Adventurer's Belt;27846;
10260;Adventurer's Gloves;27845;
10261;Adventurer's Bandana;29051;
10262;Adventurer's Legguards;27843;
10263;Adventurer's Shoulders;27849;
10264;Adventurer's Tunic;8664;
10265;Masterwork Bracers;26239;
10266;Masterwork Breastplate;26241;
10267;Masterwork Cape;26259;
10268;Masterwork Gauntlets;26244;
10269;Masterwork Girdle;26245;
10270;Masterwork Boots;26237;
10271;Masterwork Shield;27806;
10272;Masterwork Circlet;27804;
10273;Masterwork Legplates;26248;
10274;Masterwork Pauldrons;27805;
10275;Emerald Breastplate;27416;
10276;Emerald Sabatons;27419;
10277;Emerald Gauntlets;29003;
10278;Emerald Girdle;27418;
10279;Emerald Helm;27423;
10280;Emerald Legplates;13206;
10281;Emerald Pauldrons;27422;
10282;Emerald Vambraces;27420;
10283;Wolf Heart Samples;7357;
10285;Shadow Silk;18597;
10286;Heart of the Wild;18953;
10287;Greenweave Mantle;16470;
10288;Sage's Circlet;18976;
10289;Durable Hat;27862;
10290;Pink Dye;983;
10298;Gnomeregan Band;9832;
10299;Gnomeregan Amulet;9853;
10300;Pattern: Red Mageweave Vest;15274;
10301;Pattern: White Bandit Mask;15274;
10302;Pattern: Red Mageweave Pants;15274;
10305;Scroll of Protection IV;1093;
10306;Scroll of Spirit IV;2616;
10307;Scroll of Stamina IV;1093;
10308;Scroll of Intellect IV;2616;
10309;Scroll of Agility IV;3331;
10310;Scroll of Strength IV;3331;
10311;Pattern: Orange Martial Shirt;1102;
10312;Pattern: Red Mageweave Gloves;15274;
10314;Pattern: Lavender Mageweave Shirt;1102;
10315;Pattern: Red Mageweave Shoulders;15274;
10316;Pattern: Colorful Kilt;15274;
10317;Pattern: Pink Mageweave Shirt;1102;
10318;Pattern: Admiral's Hat;1102;
10320;Pattern: Red Mageweave Headband;15274;
10321;Pattern: Tuxedo Shirt;1102;
10323;Pattern: Tuxedo Pants;1102;
10325;Pattern: White Wedding Dress;1102;
10326;Pattern: Tuxedo Jacket;1102;
10327;Horn of Echeyakee;13121;
10328;Scarlet Chestpiece;19049;
10329;Scarlet Belt;27951;
10330;Scarlet Leggings;3519;
10331;Scarlet Gauntlets;15816;
10332;Scarlet Boots;28383;
10333;Scarlet Wristguards;28382;
10338;Fresh Zhevra Carcass;8942;
10358;Duracin Bracers;28156;
10359;Everlast Boots;19917;
10360;Black Kingsnake;19089;
10361;Brown Snake;19089;
10362;Ornate Shield;20910;
10363;Engraved Wall;26283;
10364;Templar Shield;27415;
10365;Emerald Shield;27803;
10366;Demon Guard;20831;
10367;Hyperion Shield;20971;
10368;Imbued Plate Armor;26351;
10369;Imbued Plate Gauntlets;26352;
10370;Imbued Plate Girdle;26353;
10371;Imbued Plate Greaves;26354;
10372;Imbued Plate Helmet;26365;
10373;Imbued Plate Leggings;26355;
10374;Imbued Plate Pauldrons;26364;
10375;Imbued Plate Vambraces;26363;
10376;Commander's Boots;26333;
10377;Commander's Vambraces;26362;
10378;Commander's Armor;26332;
10379;Commander's Helm;27749;
10380;Commander's Gauntlets;26334;
10381;Commander's Girdle;26335;
10382;Commander's Leggings;26336;
10383;Commander's Pauldrons;26337;
10384;Hyperion Armor;19844;
10385;Hyperion Greaves;26341;
10386;Hyperion Gauntlets;26339;
10387;Hyperion Girdle;26340;
10388;Hyperion Helm;26257;
10389;Hyperion Legplates;19843;
10390;Hyperion Pauldrons;26342;
10391;Hyperion Vambraces;26360;
10392;Crimson Snake;19089;
10393;Cockroach;59495;
10394;Prairie Dog Whistle;15798;
10398;Mechanical Chicken;19115;
10399;Blackened Defias Armor;9123;
10400;Blackened Defias Leggings;27947;
10401;Blackened Defias Gloves;27946;
10402;Blackened Defias Boots;21903;
10403;Blackened Defias Belt;14389;
10404;Durable Belt;27854;
10405;Bandit Shoulders;17195;
10406;Scaled Leather Headband;28173;
10407;Raider's Shoulderpads;25777;
10408;Banded Helm;27774;
10409;Banded Boots;27771;
10410;Leggings of the Fang;28385;
10411;Footpads of the Fang;27949;
10412;Belt of the Fang;28384;
10413;Gloves of the Fang;19125;
10414;Sample Snapjaw Shell;17460;
10418;Glimmering Mithril Insignia;19149;
10420;Skull of the Coldbringer;2853;
10421;Rough Copper Vest;977;
10423;Silvered Bronze Leggings;19201;
10424;Plans: Silvered Bronze Leggings;15274;
10438;Felix's Box;12331;
10439;Durnan's Scalding Mornbrew;18099;
10440;Nori's Mug;18099;
10441;Glowing Shard;19223;
10442;Mysterious Artifact;7148;
10443;Singed Letter;3093;
10444;Standard Issue Flare Gun;19225;
10445;Drawing Kit;12925;
10446;Heart of Obsidion;19239;
10447;Head of Lathoric the Black;3920;
10450;Undamaged Hippogryph Feather;19530;
10454;Essence of Eranikus;6513;
10455;Chained Essence of Eranikus;6513;
10456;A Bulging Coin Purse;2588;
10457;Empty Sea Snail Shell;19284;
10458;Prayer to Elune;7697;
10459;Chief Sharptusk Thornmantle's Head;10377;
10460;Hakkari Blood;19312;
10461;Shadowy Bracers;19314;
10462;Shadowy Belt;19313;
10463;Pattern: Shadoweave Mask;15274;
10464;Staff of Command;19315;
10465;Egg of Hakkar;18050;
10466;Atal'ai Stone Circle;19316;
10467;Trader's Satchel;1283;
10479;Kovic's Trading Satchel;1283;
10498;Gyromatic Micro-Adjustor;19394;
10499;Bright-Eye Goggles;19397;
10500;Fire Goggles;19399;
10501;Catseye Ultra Goggles;19402;
10502;Spellpower Goggles Xtreme;19409;
10503;Rose Colored Goggles;22423;
10504;Green Lens;19563;
10505;Solid Blasting Powder;31324;
10506;Deepdive Helmet;23161;
10507;Solid Dynamite;18062;
10508;Mithril Blunderbuss;18298;
10509;Heart of Flame;7050;
10510;Mithril Heavy-bore Rifle;20744;
10511;Golem Oil;19421;
10512;Hi-Impact Mithril Slugs;19422;
10513;Mithril Gyro-Shot;19422;
10514;Mithril Frag Bomb;7889;
10515;Torch of Retribution;19461;
10518;Parachute Cloak;23129;
10538;Tablet of Beth'Amara;18203;
10539;Tablet of Jin'yael;19830;
10540;Tablet of Markri;19831;
10541;Tablet of Sael'hai;19832;
10542;Goblin Mining Helmet;20813;
10543;Goblin Construction Helmet;20814;
10544;Thistlewood Maul;19782;
10545;Gnomish Goggles;22420;
10546;Deadly Scope;7326;
10547;Camping Knife;6472;
10548;Sniper Scope;7326;
10549;Rancher's Trousers;19951;
10550;Wooly Mittens;19994;
10551;Thorium Plated Dagger;19459;
10552;Symbol of Ragnaros;19462;
10553;Foreman Vest;19919;
10554;Foreman Pants;19918;
10556;Stone Circle;19316;
10558;Gold Power Core;19477;
10559;Mithril Tube;19487;
10560;Unstable Trigger;19479;
10561;Mithril Casing;20620;
10562;Hi-Explosive Bomb;25484;
10563;Rubbing: Rune of Beth'Amara;7629;
10564;Rubbing: Rune of Jin'yael;7629;
10565;Rubbing: Rune of Markri;7629;
10566;Rubbing: Rune of Sael'hai;7629;
10567;Quillshooter;20649;
10569;Hoard of the Black Dragonflight;14006;
10570;Manslayer;28796;
10571;Ebony Boneclub;19501;
10572;Freezing Shard;28747;
10573;Boneslasher;20149;
10574;Corpseshroud;19903;
10575;Black Dragonflight Molt;19502;
10576;Mithril Mechanical Dragonling;60692;
10577;Goblin Mortar;7397;
10578;Thoughtcast Boots;19993;
10581;Death's Head Vestment;19506;
10582;Briar Tredders;28654;
10583;Quillward Harness;28808;
10584;Stormgale Fists;28685;
10586;The Big One;7888;
